TIMESTAMP,HTB,Calendrier
1,15.3,HCH
2,15.3,HCH
3,15.3,HCH
4,15.3,HCH
5,15.3,HCH
6,15.3,HCH
7,15.3,HCH
8,18.0,HPH
9,18.0,HPH
10,21.8,P
11,21.8,P
12,18.0,HPH
13,18.0,HPH
14,18.0,HPH
15,18.0,HPH
16,18.0,HPH
17,18.0,HPH
18,18.0,HPH
19,21.8,P
20,21.8,P
21,18.0,HPH
22,18.0,HPH
23,18.0,HPH
24,15.3,HCH
25,15.3,HCH
26,15.3,HCH
27,15.3,HCH
28,15.3,HCH
29,15.3,HCH
30,15.3,HCH
31,15.3,HCH
32,18.0,HPH
33,18.0,HPH
34,21.8,P
35,21.8,P
36,18.0,HPH
37,18.0,HPH
38,18.0,HPH
39,18.0,HPH
40,18.0,HPH
41,18.0,HPH
42,18.0,HPH
43,21.8,P
44,21.8,P
45,18.0,HPH
46,18.0,HPH
47,18.0,HPH
48,15.3,HCH
49,15.3,HCH
50,15.3,HCH
51,15.3,HCH
52,15.3,HCH
53,15.3,HCH
54,15.3,HCH
55,15.3,HCH
56,18.0,HPH
57,18.0,HPH
58,21.8,P
59,21.8,P
60,18.0,HPH
61,18.0,HPH
62,18.0,HPH
63,18.0,HPH
64,18.0,HPH
65,18.0,HPH
66,18.0,HPH
67,21.8,P
68,21.8,P
69,18.0,HPH
70,18.0,HPH
71,18.0,HPH
72,15.3,HCH
73,15.3,HCH
74,15.3,HCH
75,15.3,HCH
76,15.3,HCH
77,15.3,HCH
78,15.3,HCH
79,15.3,HCH
80,18.0,HPH
81,18.0,HPH
82,21.8,P
83,21.8,P
84,18.0,HPH
85,18.0,HPH
86,18.0,HPH
87,18.0,HPH
88,18.0,HPH
89,18.0,HPH
90,18.0,HPH
91,21.8,P
92,21.8,P
93,18.0,HPH
94,18.0,HPH
95,18.0,HPH
96,15.3,HCH
97,15.3,HCH
98,15.3,HCH
99,15.3,HCH
100,15.3,HCH
101,15.3,HCH
102,15.3,HCH
103,15.3,HCH
104,18.0,HPH
105,18.0,HPH
106,21.8,P
107,21.8,P
108,18.0,HPH
109,18.0,HPH
110,18.0,HPH
111,18.0,HPH
112,18.0,HPH
113,18.0,HPH
114,18.0,HPH
115,21.8,P
116,21.8,P
117,18.0,HPH
118,18.0,HPH
119,18.0,HPH
120,15.3,HCH
121,15.3,HCH
122,15.3,HCH
123,15.3,HCH
124,15.3,HCH
125,15.3,HCH
126,15.3,HCH
127,15.3,HCH
128,18.0,HPH
129,18.0,HPH
130,21.8,P
131,21.8,P
132,18.0,HPH
133,18.0,HPH
134,18.0,HPH
135,18.0,HPH
136,18.0,HPH
137,18.0,HPH
138,18.0,HPH
139,21.8,P
140,21.8,P
141,18.0,HPH
142,18.0,HPH
143,18.0,HPH
144,15.3,HCH
145,15.3,HCH
146,15.3,HCH
147,15.3,HCH
148,15.3,HCH
149,15.3,HCH
150,15.3,HCH
151,15.3,HCH
152,18.0,HPH
153,18.0,HPH
154,21.8,P
155,21.8,P
156,18.0,HPH
157,18.0,HPH
158,18.0,HPH
159,18.0,HPH
160,18.0,HPH
161,18.0,HPH
162,18.0,HPH
163,21.8,P
164,21.8,P
165,18.0,HPH
166,18.0,HPH
167,18.0,HPH
168,15.3,HCH
169,15.3,HCH
170,15.3,HCH
171,15.3,HCH
172,15.3,HCH
173,15.3,HCH
174,15.3,HCH
175,15.3,HCH
176,18.0,HPH
177,18.0,HPH
178,21.8,P
179,21.8,P
180,18.0,HPH
181,18.0,HPH
182,18.0,HPH
183,18.0,HPH
184,18.0,HPH
185,18.0,HPH
186,18.0,HPH
187,21.8,P
188,21.8,P
189,18.0,HPH
190,18.0,HPH
191,18.0,HPH
192,15.3,HCH
193,15.3,HCH
194,15.3,HCH
195,15.3,HCH
196,15.3,HCH
197,15.3,HCH
198,15.3,HCH
199,15.3,HCH
200,18.0,HPH
201,18.0,HPH
