,AREA,YEAR_op,STOCK_TECHNO,Cmax_Pvar
0,Marseille,2020,tankH2_G,0.0
1,Marseille,2020,saltCavernH2_G,0.0
2,Marseille,2020,Battery,0.0
3,Marseille,2030,tankH2_G,-5.060310035356418e-15
4,Marseille,2030,saltCavernH2_G,33029.236581418554
5,Marseille,2030,Battery,0.0
6,Marseille,2040,tankH2_G,5608.976338348514
7,Marseille,2040,saltCavernH2_G,163029.23658141855
8,Marseille,2040,Battery,0.0
9,Marseille,2050,tankH2_G,29706.965159118332
10,Marseille,2050,saltCavernH2_G,293029.23658141855
11,Marseille,2050,Battery,0.0
