,AREA,YEAR_op,RESOURCES,importCosts_Pvar
0,Marseille,2020,electricity,-0.0
1,Marseille,2020,gaz,-0.0
2,Marseille,2020,gazBio,-0.0
3,Marseille,2020,gazNat,34330520.63839719
4,Marseille,2020,hydrogen,-0.0
5,Marseille,2030,electricity,30549147.109153613
6,Marseille,2030,gaz,-0.0
7,Marseille,2030,gazBio,41648020.03511349
8,Marseille,2030,gazNat,31092028.662471294
9,Marseille,2030,hydrogen,6777499.229422604
10,Marseille,2040,electricity,11982842.877427038
11,Marseille,2040,gaz,-0.0
12,Marseille,2040,gazBio,27804363.777599573
13,Marseille,2040,gazNat,3619052.6492746933
14,Marseille,2040,hydrogen,4036783.0502455253
15,Marseille,2050,electricity,6458440.000582654
16,Marseille,2050,gaz,-0.0
17,Marseille,2050,gazBio,19111989.67666442
18,Marseille,2050,gazNat,2464194.8430650746
19,Marseille,2050,hydrogen,1492975.995401174
