,AREA,YEAR_op,STOCK_TECHNO,Pmax_Pvar
0,Marseille,2020,tankH2_G,1.6940658945086007e-21
1,Marseille,2020,saltCavernH2_G,0.0
2,Marseille,2020,Battery,0.0
3,Marseille,2030,tankH2_G,-4.1306077346514244e-13
4,Marseille,2030,saltCavernH2_G,0.0
5,Marseille,2030,Battery,-1.0764802177976843e-14
6,Marseille,2040,tankH2_G,2.9735657912659447e-12
7,Marseille,2040,saltCavernH2_G,0.0
8,Marseille,2040,Battery,5.461664208730992e-16
9,Marseille,2050,tankH2_G,2.9011927699931305e-11
10,Marseille,2050,saltCavernH2_G,0.0
11,Marseille,2050,Battery,-2.8636489880773386e-17
