,AREA,YEAR_invest,TECHNOLOGIES,TECHNOLOGIES,transInvest_Dvar
117,Marseille,2020,WindOffShore_flot,curtailment,0.0
118,Marseille,2020,WindOffShore_flot,CCS2,0.0
119,Marseille,2020,WindOffShore_flot,SMR + CCS1,0.0
120,Marseille,2020,WindOffShore_flot,WindOnShore,0.0
121,Marseille,2020,WindOffShore_flot,WindOffShore_flot,0.0
122,Marseille,2020,WindOffShore_flot,SMR + CCS2,0.0
123,Marseille,2020,WindOffShore_flot,CCS1,0.0
124,Marseille,2020,WindOffShore_flot,SMR,0.0
125,Marseille,2020,WindOffShore_flot,Solar,0.0
126,Marseille,2020,SMR + CCS2,curtailment,0.0
127,Marseille,2020,SMR + CCS2,CCS2,0.0
128,Marseille,2020,SMR + CCS2,SMR + CCS1,0.0
129,Marseille,2020,SMR + CCS2,WindOnShore,0.0
130,Marseille,2020,SMR + CCS2,WindOffShore_flot,0.0
131,Marseille,2020,SMR + CCS2,SMR + CCS2,0.0
132,Marseille,2020,SMR + CCS2,CCS1,0.0
133,Marseille,2020,SMR + CCS2,SMR,0.0
134,Marseille,2020,SMR + CCS2,Solar,0.0
135,Marseille,2020,CCS1,curtailment,0.0
136,Marseille,2020,CCS1,CCS2,0.0
137,Marseille,2020,CCS1,SMR + CCS1,0.0
138,Marseille,2020,CCS1,WindOnShore,0.0
139,Marseille,2020,CCS1,WindOffShore_flot,0.0
140,Marseille,2020,CCS1,SMR + CCS2,0.0
141,Marseille,2020,CCS1,CCS1,0.0
142,Marseille,2020,CCS1,SMR,0.0
143,Marseille,2020,CCS1,Solar,0.0
144,Marseille,2020,SMR,curtailment,0.0
145,Marseille,2020,SMR,CCS2,0.0
146,Marseille,2020,SMR,SMR + CCS1,411.0
147,Marseille,2020,SMR,WindOnShore,0.0
148,Marseille,2020,SMR,WindOffShore_flot,0.0
149,Marseille,2020,SMR,SMR + CCS2,0.0
150,Marseille,2020,SMR,CCS1,0.0
151,Marseille,2020,SMR,SMR,0.0
152,Marseille,2020,SMR,Solar,0.0
153,Marseille,2020,Solar,curtailment,0.0
154,Marseille,2020,Solar,CCS2,0.0
155,Marseille,2020,Solar,SMR + CCS1,0.0
156,Marseille,2020,Solar,WindOnShore,0.0
157,Marseille,2020,Solar,WindOffShore_flot,0.0
158,Marseille,2020,Solar,SMR + CCS2,0.0
159,Marseille,2020,Solar,CCS1,0.0
160,Marseille,2020,Solar,SMR,0.0
161,Marseille,2020,Solar,Solar,0.0
162,Marseille,2030,curtailment,curtailment,0.0
163,Marseille,2030,curtailment,CCS2,0.0
164,Marseille,2030,curtailment,SMR + CCS1,0.0
165,Marseille,2030,curtailment,WindOnShore,0.0
166,Marseille,2030,curtailment,WindOffShore_flot,0.0
167,Marseille,2030,curtailment,SMR + CCS2,0.0
168,Marseille,2030,curtailment,CCS1,0.0
169,Marseille,2030,curtailment,SMR,0.0
170,Marseille,2030,curtailment,Solar,0.0
171,Marseille,2030,CCS2,curtailment,0.0
172,Marseille,2030,CCS2,CCS2,0.0
173,Marseille,2030,CCS2,SMR + CCS1,0.0
174,Marseille,2030,CCS2,WindOnShore,0.0
175,Marseille,2030,CCS2,WindOffShore_flot,0.0
176,Marseille,2030,CCS2,SMR + CCS2,0.0
177,Marseille,2030,CCS2,CCS1,0.0
178,Marseille,2030,CCS2,SMR,0.0
179,Marseille,2030,CCS2,Solar,0.0
180,Marseille,2030,SMR + CCS1,curtailment,0.0
181,Marseille,2030,SMR + CCS1,CCS2,0.0
182,Marseille,2030,SMR + CCS1,SMR + CCS1,0.0
183,Marseille,2030,SMR + CCS1,WindOnShore,0.0
184,Marseille,2030,SMR + CCS1,WindOffShore_flot,0.0
185,Marseille,2030,SMR + CCS1,SMR + CCS2,0.0
186,Marseille,2030,SMR + CCS1,CCS1,0.0
187,Marseille,2030,SMR + CCS1,SMR,0.0
188,Marseille,2030,SMR + CCS1,Solar,0.0
189,Marseille,2030,WindOnShore,curtailment,0.0
190,Marseille,2030,WindOnShore,CCS2,0.0
191,Marseille,2030,WindOnShore,SMR + CCS1,0.0
192,Marseille,2030,WindOnShore,WindOnShore,0.0
193,Marseille,2030,WindOnShore,WindOffShore_flot,0.0
194,Marseille,2030,WindOnShore,SMR + CCS2,0.0
195,Marseille,2030,WindOnShore,CCS1,0.0
196,Marseille,2030,WindOnShore,SMR,0.0
197,Marseille,2030,WindOnShore,Solar,0.0
198,Marseille,2030,WindOffShore_flot,curtailment,0.0
199,Marseille,2030,WindOffShore_flot,CCS2,0.0
200,Marseille,2030,WindOffShore_flot,SMR + CCS1,0.0
201,Marseille,2030,WindOffShore_flot,WindOnShore,0.0
202,Marseille,2030,WindOffShore_flot,WindOffShore_flot,0.0
203,Marseille,2030,WindOffShore_flot,SMR + CCS2,0.0
204,Marseille,2030,WindOffShore_flot,CCS1,0.0
205,Marseille,2030,WindOffShore_flot,SMR,0.0
206,Marseille,2030,WindOffShore_flot,Solar,0.0
207,Marseille,2030,SMR + CCS2,curtailment,0.0
208,Marseille,2030,SMR + CCS2,CCS2,0.0
209,Marseille,2030,SMR + CCS2,SMR + CCS1,0.0
210,Marseille,2030,SMR + CCS2,WindOnShore,0.0
211,Marseille,2030,SMR + CCS2,WindOffShore_flot,0.0
212,Marseille,2030,SMR + CCS2,SMR + CCS2,0.0
213,Marseille,2030,SMR + CCS2,CCS1,0.0
214,Marseille,2030,SMR + CCS2,SMR,0.0
215,Marseille,2030,SMR + CCS2,Solar,0.0
