,electricity,gazNat,gazBio,hydrogen,gaz
2020,100000000000.0,100000000000.0,0,0,0
2030,100000000000.0,100000000000.0,0,0,0
2040,100000000000.0,100000000000.0,0,0,0
2050,100000000000.0,100000000000.0,0,0,0
