YEAR;SCENARIO;TECHNOLOGIE;powerCosts;capacityCosts;Prod;elecUse;gasUse;carbon;prodPercent;elecPercent;gasPercent;importElec;TURPE;capexElec;importGas;storageElec;storageH2;pipelineH2;importH2
2030;scenario4_250;AEL;0;98436898,06;4599000;7042877,86;0;7517446,726;1;1;0;56293648,7;33912771,87;242733101,6;0;0;20069439,61;83074890,52;4626483,84
2020;scenario4_250;SMR;754236;16440000;3591600;0;4597248;108756521,3;0;0;1;0;0;0;61764777,34;0;0;0;0
2030;scenario4_250;SMR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;scenario3_500;AEL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2030;scenario3_500;AEL;0;116627845,5;4599000;6530735,829;0;3960005,137;1;1;0;31653140,71;26024035,42;237056716,5;0;0;10157101,38;166149781;64487240,78
2020;scenario3_500;SMR;754236;16440000;3591600;0;4597248;108756521,3;0;0;1;0;0;0;61764777,34;0;0;0;0
2030;scenario3_500;SMR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;scenario4_500;AEL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2030;scenario4_500;AEL;0;98436898,06;4599000;7042877,86;0;7517446,726;1;1;0;56293648,7;33912771,87;242733101,6;0;0;20069439,61;166149781;4626483,84
2020;scenario4_500;SMR;754236;16440000;3591600;0;4597248;108756521,3;0;0;1;0;0;0;61764777,34;0;0;0;0
2030;scenario4_500;SMR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;scenario1_tdemi;AEL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2030;scenario1_tdemi;AEL;0;140013320,8;4599000;5464396,746;0;4454119,603;1;1;0;100236873,3;67104517,52;28648476,31;0;0;10905211,09;0;189124276,5
2020;scenario1_tdemi;SMR;754236;16440000;3591600;0;4597248;108756521,3;0;0;1;0;0;0;61764777,34;0;0;0;0
2030;scenario1_tdemi;SMR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;scenario1_tdouble;AEL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2030;scenario1_tdouble;AEL;0;124802350;4599000;5365900,421;0;4421822,206;1;1;0;110819463,8;103604672,8;28648476,31;0;0;10418606,7;0;200636834
2020;scenario1_tdouble;SMR;754236;16440000;3591600;0;4597248;108756521,3;0;0;1;0;0;0;61764777,34;0;0;0;0
2030;scenario1_tdouble;SMR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;scenario2_tdemi;AEL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2030;scenario2_tdemi;AEL;0;114314165,9;4599000;6434831,803;0;5306209,276;1;1;0;44400553,57;29504967,1;214849018,8;0;0;10083085,94;0;75696802,24
