,AREA,YEAR_invest,TECHNOLOGIES,TECHNOLOGIES,transInvest_Dvar
135,France,2010,WindOffShore,CCG,0.0
136,France,2010,WindOffShore,WindOffShore,0.0
137,France,2010,WindOffShore,WindOnShore,0.0
138,France,2010,WindOffShore,electrolysis_AEL,0.0
139,France,2010,WindOffShore,IntercoOut,0.0
140,France,2010,WindOffShore,IntercoIn,0.0
141,France,2010,WindOffShore,Solar,0.0
142,France,2010,WindOffShore,Coal_p,0.0
143,France,2010,WindOffShore,TAC_H2,0.0
144,France,2010,WindOnShore,OldNuke,0.0
145,France,2010,WindOnShore,curtailment,0.0
146,France,2010,WindOnShore,HydroRiver,0.0
147,France,2010,WindOnShore,HydroReservoir,0.0
148,France,2010,WindOnShore,CCG_H2,0.0
149,France,2010,WindOnShore,TAC,0.0
150,France,2010,WindOnShore,NewNuke,0.0
151,France,2010,WindOnShore,CCG,0.0
152,France,2010,WindOnShore,WindOffShore,0.0
153,France,2010,WindOnShore,WindOnShore,0.0
154,France,2010,WindOnShore,electrolysis_AEL,0.0
155,France,2010,WindOnShore,IntercoOut,0.0
156,France,2010,WindOnShore,IntercoIn,0.0
157,France,2010,WindOnShore,Solar,0.0
158,France,2010,WindOnShore,Coal_p,0.0
159,France,2010,WindOnShore,TAC_H2,0.0
160,France,2010,electrolysis_AEL,OldNuke,0.0
161,France,2010,electrolysis_AEL,curtailment,0.0
162,France,2010,electrolysis_AEL,HydroRiver,0.0
163,France,2010,electrolysis_AEL,HydroReservoir,0.0
164,France,2010,electrolysis_AEL,CCG_H2,0.0
165,France,2010,electrolysis_AEL,TAC,0.0
166,France,2010,electrolysis_AEL,NewNuke,0.0
167,France,2010,electrolysis_AEL,CCG,0.0
168,France,2010,electrolysis_AEL,WindOffShore,0.0
169,France,2010,electrolysis_AEL,WindOnShore,0.0
170,France,2010,electrolysis_AEL,electrolysis_AEL,0.0
171,France,2010,electrolysis_AEL,IntercoOut,0.0
172,France,2010,electrolysis_AEL,IntercoIn,0.0
173,France,2010,electrolysis_AEL,Solar,0.0
174,France,2010,electrolysis_AEL,Coal_p,0.0
