YEAR_op,TIMESTAMP,carbonContent
2020,1,0.0
2020,2,0.0
2020,3,0.0
2020,4,0.0
2020,5,0.0
2020,6,0.0
2020,7,0.0
2020,8,0.0
2020,9,0.0
2020,10,0.0
2020,11,0.0
2020,12,0.0
2020,13,0.0
2020,14,0.0
2020,15,0.0
2020,16,0.0
2020,17,0.0
2020,18,0.0
2020,19,0.0
2020,20,0.0
2020,21,0.0
2020,22,0.0
2020,23,0.0
2020,24,0.0
2020,25,0.0
2020,26,0.0
2020,27,0.0
2020,28,0.0
2020,29,0.0
2020,30,0.0
2020,31,0.0
2020,32,0.0
2020,33,0.0
2020,34,0.0
2020,35,0.0
2020,36,0.0
2020,37,0.0
2020,38,0.0
2020,39,0.0
2020,40,0.0
2020,41,0.0
2020,42,0.0
2020,43,0.0
2020,44,3.0
2020,45,2.0
2020,46,2.0
2020,47,1.0
2020,48,0.0
2020,49,0.0
2020,50,0.0
2020,51,0.0
2020,52,0.0
2020,53,0.0
2020,54,0.0
2020,55,0.0
2020,56,19.0
2020,57,27.0
2020,58,16.0
2020,59,10.0
2020,60,9.0
2020,61,9.0
2020,62,8.0
2020,63,8.0
2020,64,7.0
2020,65,6.0
2020,66,6.0
2020,67,26.0
2020,68,37.0
2020,69,23.0
2020,70,11.0
2020,71,11.0
2020,72,21.0
2020,73,16.0
2020,74,12.0
2020,75,11.0
2020,76,11.0
2020,77,10.0
2020,78,9.0
2020,79,14.0
2020,80,45.0
2020,81,55.0
2020,82,44.0
2020,83,31.0
2020,84,25.0
2020,85,22.0
2020,86,21.0
2020,87,23.0
2020,88,22.0
2020,89,15.0
2020,90,21.0
2020,91,47.0
2020,92,56.0
2020,93,39.0
2020,94,21.0
2020,95,11.0
2020,96,33.0
2020,97,37.0
2020,98,19.0
2020,99,12.0
2020,100,11.0
2020,101,10.0
2020,102,10.0
2020,103,9.0
2020,104,8.0
2020,105,7.0
2020,106,6.0
2020,107,5.0
2020,108,4.0
2020,109,3.0
2020,110,3.0
2020,111,2.0
2020,112,1.0
