YEAR_op,SMR w/o CCUS,SMR + CCUS 50%,SMR + CCUS 90%,Alkaline electrolysis,PEM electrolysis,importsH2,curtailment,totalProd,carbon,total_carbon,costs,total_costs,scenario
2020,3595.237309288123,0.0,0.0,0.0,0.0,0.0,0.0,3595.237309288123,8.684437659033595,936678428.4583316,1.5305402159638466,165079658.63397366,ref
2030,1.1215919049658879e-15,4602.207712339371,0.0,-7.986338268082026e-15,-1.6194695873016935e-15,2.879540534573942e-17,0.0,4602.207712339371,3.955095801526128,546065172.0247384,2.2855432105745157,315556337.7177277,ref
2040,256.0870211535751,4885.869814416567,0.0,745.6993402263649,0.0,3.5587859500862282,0.0,5891.214961746594,3.65938577594885,646746847.022176,2.433085850200166,430014952.9173945,ref
2050,53.66076827700913,2962.614066676606,0.0,3553.832536898979,0.0,43.69262814755569,0.0,6613.800000000149,1.3819926963855536,274206698.8606494,2.5872283095044684,513342317.80203116,ref
2020,3595.237309288123,0.0,0.0,0.0,0.0,0.0,0.0,3595.237309288123,8.684437659033595,936678428.4583316,1.5305402159638466,165079658.63397366,gas_x5_ref
2030,3103.9543164573997,0.0,0.0,1385.777344084905,0.0,112.47605179636035,0.0,4602.207712338665,5.906337310514091,815465733.6636467,2.755411006596617,380429213.55665386,gas_x5_ref
2040,1638.1957471841797,0.0,0.0,4160.1561631698205,0.0,92.86305139210853,0.0,5891.214961746109,2.429202974200488,429328707.2018419,2.6016818192033293,459812005.76980466,gas_x5_ref
2050,1439.891269719625,120.52151325063653,0.0,5038.392557072421,0.0,14.994659957513722,0.0,6613.8000000001975,1.6400379916873402,325406498.0826616,2.7976605836876813,555095027.0518242,gas_x5_ref
2020,3595.237309288123,0.0,0.0,0.0,0.0,0.0,0.0,3595.237309288123,8.684437659033595,936678428.4583316,1.5305402159638466,165079658.63397366,BM_60_ref
2030,0.0,4602.207712339371,0.0,0.0,0.0,0.0,0.0,4602.207712339371,3.955095801526128,546065172.0247384,2.2855432105742177,315556337.7176866,BM_60_ref
2040,261.52546153910487,4916.955703876548,0.0,709.4824181307681,0.0,3.2513781991536774,0.0,5891.214961745575,3.6881742710426617,651834823.4127483,2.4344222070112806,430251135.8745162,BM_60_ref
2050,123.72033545371893,3173.1118504162523,0.0,3297.554662692528,0.0,19.413151437557886,0.0,6613.800000000057,1.5759190641169627,312684405.1877057,2.5896062999293505,513814144.3941865,BM_60_ref
2020,3595.237309288123,0.0,0.0,0.0,0.0,0.0,0.0,3595.237309288123,8.684437659033595,936678428.4583316,1.5305402159638466,165079658.63397366,CO2_100_ref
2030,4602.207712339371,0.0,0.0,0.0,0.0,0.0,0.0,4602.207712339371,8.683729262085302,1198929773.4550817,2.4338474926212395,336032151.0359793,CO2_100_ref
2040,3191.548421835245,0.0,0.0,2696.605367668213,0.0,3.061172242572689,0.0,5891.214961746031,4.7136056834517035,833065929.783654,2.444561947679585,432043197.6325496,CO2_100_ref
2050,2240.598124080883,0.0,0.0,4341.314706849825,0.0,31.887169069305045,0.0,6613.800000000012,2.5220505941191913,500410146.5815661,2.710792805935258,537859243.7968392,CO2_100_ref
2020,3595.237309288123,0.0,0.0,0.0,0.0,0.0,0.0,3595.237309288123,8.684437659033595,936678428.4583316,1.5305402159638466,165079658.63397366,import_H2_ref
2030,3600.36,1001.8477123384704,0.0,0.0,0.0,0.0,0.0,4602.207712338471,7.6543601177431055,1056808655.0067998,2.333399090219813,322163618.66919583,import_H2_ref
2040,2211.047351550783,929.5523087926059,0.0,2197.801242322636,0.0,552.8140590802448,0.0,5891.214961746269,3.8911198594280276,687702706.014313,2.682572398663796,474108319.529272,import_H2_ref
2050,0.0,0.0,0.0,3387.1106456235934,0.0,3226.689354376562,0.0,6613.800000000156,0.006176766639984847,1225556.9761059822,4.076270861769726,808789206.7671974,import_H2_ref
2020,3595.237309288123,0.0,0.0,0.0,0.0,0.0,0.0,3595.237309288123,8.684437659033595,936678428.4583316,1.5305402159638466,165079658.63397366,Re_inf_ref
2030,1801.6622513120717,2800.545461026831,0.0,0.0,0.0,0.0,0.0,4602.207712338903,5.806250929387375,801647184.210045,2.3094908524378424,318862698.3799676,Re_inf_ref
2040,1181.5443174469483,2572.686011715634,0.0,2129.3430274110506,0.0,7.641605172533704,0.0,5891.214961746166,3.4754192098907337,614233249.4294499,2.4077262146795304,425532980.99125534,Re_inf_ref
2050,0.0,1516.0513581197672,0.0,5058.904478180172,0.0,38.844163700250036,0.0,6613.800000000189,0.6694313771045807,132824557.2568321,2.520711904895805,500144531.8980105,Re_inf_ref
2020,3595.237309288123,0.0,0.0,0.0,0.0,0.0,0.0,3595.237309288123,8.684437659033595,936678428.4583316,1.5305402159638466,165079658.63397366,Re_inf
2030,1801.6622513120717,2800.545461026831,0.0,8.457244463537356e-22,6.954419983434549e-22,6.100571461286921e-17,0.0,4602.207712338903,5.806250929387375,801647184.210045,2.3094908524378477,318862698.3799682,Re_inf
2040,1181.5443174469485,2572.686011715635,0.0,2129.3430274110506,5.265463716492215e-19,7.641605172533693,0.0,5891.214961746167,3.4754192098907293,614233249.4294492,2.4077262146795313,425532980.99125564,Re_inf
2050,4.0389678347315805e-31,1519.4867931045608,0.0,5054.430199757771,-1.7354968409537994e-19,39.88300713786336,0.0,6613.800000000196,0.6714896495211138,133232947.32008623,2.5207202435128067,500146186.3963648,Re_inf
2020,3595.237309288123,0.0,0.0,0.0,0.0,0.0,0.0,3595.237309288123,8.684437659033595,936678428.4583316,1.5305402159638466,165079658.63397366,woSMR_2040_ref
2030,4602.207712339371,0.0,0.0,3.4818563398682523e-14,0.0,0.0,0.0,4602.207712339371,8.683729262085302,1198929773.4550817,2.3467156206619406,324002181.84232974,woSMR_2040_ref
2040,0.0,0.0,0.0,4540.349666157837,0.0,1350.8652955881603,0.0,5891.214961745998,0.01712354130153094,3026353.8814096386,3.1429234328413465,555469126.535311,woSMR_2040_ref
2050,0.0,0.0,0.0,6232.18940860649,0.0,381.61059139361424,0.0,6613.800000000105,0.0064316718833500024,1276133.7450630276,3.055984899685393,606350187.8861872,woSMR_2040_ref
2020,3595.237309288123,0.0,0.0,0.0,0.0,0.0,0.0,3595.237309288123,8.684437659033595,936678428.4583316,1.5305402159638466,165079658.63397366,expensiveRE_ref
2030,0.0,4602.207712339371,0.0,0.0,0.0,0.0,0.0,4602.207712339371,3.955095801526128,546065172.0247384,2.2855432105742177,315556337.7176866,expensiveRE_ref
2040,0.0,5891.214961746644,0.0,0.0,0.0,0.0,0.0,5891.214961746644,3.954365267175497,698880474.7858666,2.4515410294823035,433276655.76665753,expensiveRE_ref
2050,0.0,3631.6763418428277,0.0,2939.6406576420577,0.0,42.48300051529633,0.0,6613.800000000181,1.6616842360873032,329701416.0190352,2.5866591050223366,513229379.66391593,expensiveRE_ref
2020,3595.237309288123,0.0,0.0,0.0,0.0,0.0,0.0,3595.237309288123,8.684437659033595,936678428.4583316,1.5305402159638466,165079658.63397366,ref_gas_x5
2030,0.0,4602.207712339371,0.0,0.0,0.0,0.0,0.0,4602.207712339371,1.132950367736542,156422187.60284522,3.8433810824347265,530641141.7712102,ref_gas_x5
2040,308.7020976985845,4529.510938715336,0.0,1038.4914642769897,0.0,14.51046105534271,0.0,5891.214961746253,1.2307475662761413e-13,2.1751795429736376e-05,3.419760903743839,604396398.0519178,ref_gas_x5
2050,185.05228595282097,2336.2808768313084,0.0,4048.9163658256457,0.0,43.55047139028807,0.0,6613.800000000063,1.947128898387662e-13,3.863376332446933e-05,2.964279805779463,588154613.383932,ref_gas_x5
2020,3595.237309288123,0.0,0.0,0.0,0.0,0.0,0.0,3595.237309288123,8.684437659033595,936678428.4583316,1.5305402159638466,165079658.63397366,gas_x5
2030,1816.4353837244107,0.0,0.0,2680.548804308942,-2.695917422850748e-16,105.2235243054329,0.0,4602.207712338786,1.887485494364106,260598008.97270226,3.5245422489655995,486620265.61960113,gas_x5
2040,1173.9604632658907,0.0,0.0,4626.300539515005,0.0,90.9539589652581,0.0,5891.214961746153,0.16738728619363574,29583434.544900965,2.8137830002333812,497298015.3024562,gas_x5
2050,1145.2896805259643,98.41618535060594,0.0,5350.404298548423,0.0,19.689835575153896,0.0,6613.800000000147,0.0,-5.166521077626385e-07,2.8978710817353233,574978192.8114451,gas_x5
2020,3595.237309288123,0.0,0.0,0.0,0.0,0.0,0.0,3595.237309288123,8.684437659033595,936678428.4583316,1.5305402159638466,165079658.63397366,BM_60_gas_x5
2030,0.0,4602.207712339371,0.0,0.0,0.0,0.0,0.0,4602.207712339371,1.132950367736542,156422187.60284522,3.8433810824347265,530641141.7712102,BM_60_gas_x5
2040,308.48983568860206,4581.490093318595,0.0,988.6748285273899,0.0,12.56020421111091,0.0,5891.214961745699,2.9966563963856034e-13,5.296184099279344e-05,3.429326145823484,606086924.9694307,BM_60_gas_x5
2050,406.204194206908,2403.8793603399713,0.0,3784.75553626628,0.0,18.960909186921892,0.0,6613.800000000081,2.1706199838811056e-14,4.30681393481791e-06,2.9937319785122183,593998336.7845305,BM_60_gas_x5
2020,3595.237309288123,0.0,0.0,0.0,0.0,0.0,0.0,3595.237309288123,8.684437659033595,936678428.4583316,1.5305402159638466,165079658.63397366,CO2_100_gas_x5
2030,4602.207712339371,0.0,0.0,0.0,0.0,0.0,0.0,4602.207712339371,5.947103386895672,821094152.1975257,3.944478156243581,544599233.7545518,CO2_100_gas_x5
2040,2385.2464256195067,0.0,0.0,3503.3439561024065,0.0,2.624580024243767,0.0,5891.214961746157,0.7002505661409913,123759798.36663076,2.892372500427479,511187644.48384523,CO2_100_gas_x5
2050,1751.8851537633266,0.0,0.0,4830.015536125602,0.0,31.899310111038684,0.0,6613.799999999967,0.10200964281323885,20240141.269145872,2.8437322922487276,564236299.0342362,CO2_100_gas_x5
2020,3595.237309288123,0.0,0.0,0.0,0.0,0.0,0.0,3595.237309288123,8.684437659033595,936678428.4583316,1.5305402159638466,165079658.63397366,import_H2_gas_x5
2030,3600.36,1001.8477123384704,0.0,0.0,0.0,0.0,0.0,4602.207712338471,4.899117617770789,676402706.52474,3.8543062203851703,532149534.39512324,import_H2_gas_x5
