YEAR_op,SMR w/o CCUS,SMR + CCUS 50%,SMR + CCUS 90%,Alkaline electrolysis,PEM electrolysis,importsH2,curtailment,totalProd,carbon,total_carbon,costs,total_costs,scenario
2020,3595.237309288123,0.0,0.0,0.0,0.0,0.0,0.0,3595.237309288123,8.684437659033595,936678428.4583316,1.5305402159638466,165079658.63397366,Cavern
2030,1386.339411520782,3215.868300818461,0.0,-4.7139322418399025e-17,-4.572911370301325e-16,2.399681513782106e-19,0.0,4602.207712339243,5.379518891216726,742729899.8949682,2.3087872363718556,318765552.76142883,Cavern
2040,634.5513595606772,2960.1573387206377,0.0,2296.5062634651254,-7.557948792536643e-33,0.0,0.0,5891.21496174644,2.930564207207241,517937511.1157368,2.332097422206232,412166616.7785497,Cavern
2050,0.0,1182.1354651297754,0.0,5431.664534870272,0.0,0.0,0.0,6613.8000000000475,0.4291826807609261,85155852.420499,2.4419270080522852,484512505.3756896,Cavern
2020,3595.237309288123,0.0,0.0,0.0,0.0,0.0,0.0,3595.237309288123,8.684437659033595,936678428.4583316,1.5305402159638466,165079658.63397366,BM_60Cavern_Cavern
2030,1140.1260596065217,3462.0816527325896,0.0,0.0,0.0,4.979483492206783e-13,0.0,4602.207712339113,5.126541892553205,707802319.0661374,2.3006977327579587,317648665.4837937,BM_60Cavern_Cavern
2040,474.7526229674264,3176.4286054507797,0.0,2240.033733328059,0.0,0.0,0.0,5891.2149617462655,2.840000876661693,501931669.6788562,2.326895911161067,411247320.1877486,BM_60Cavern_Cavern
2050,0.0,1558.530369234311,0.0,5055.269630765751,0.0,0.0,0.0,6613.800000000061,0.7962156370124042,157980329.4021806,2.4361508907768394,483366442.8426002,BM_60Cavern_Cavern
2020,3595.237309288123,0.0,0.0,0.0,0.0,0.0,0.0,3595.237309288123,8.684437659033595,936678428.4583316,1.5305402159638466,165079658.63397366,expensiveRECavern_Cavern
2030,610.1876940556148,3992.020018283387,0.0,0.0,0.0,4.979483492206783e-13,0.0,4602.207712339003,4.582045762867162,632625790.444725,2.2936538075277375,316676137.27319616,expensiveRECavern_Cavern
