AREA;YEAR;powerCosts;capacityCosts;Prod;elecUse;gasUse;carbon;prodPercent;elecPercent;gasPercent;importElec;TURPE;capexElec;importGas;storageElec;storageH2;importsH2;tech;scenario
Marseille;2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;AEL;ref
Marseille;2030;0.0;0.0;0.0;-1.500347514364015e-11;0.0;0.0;0.9999999999999999;0.9999999999999999;0.0;-4.742159965735335e-11;6.839612250523241e-11;-9.73085128845678e-10;0.0;0.0;5.062105361695669e-11;0.0;AEL;ref
Marseille;2040;0.0;20112898.00701114;745699.3402263649;1148376.9839486019;0.0;0.0;1.0;1.0;0.0;3031352.785606892;13366425.106755964;6759378.988599181;0.0;0.0;2109987.030102835;0.0;AEL;ref
Marseille;2050;0;76205524,38;3553832,537;5472902,107;0.0;0.0;1.0;1.0;0.0;11597676,82;66106333,06;22216335,81;0;0;23815523,38;0;AEL;ref
Marseille;2020;754999.8349505324;16440000.0;3595237.309288123;0.0;4601903.755888797;86039781.19095966;0.0;0.0;1.0;0.0;0.0;0.0;61827328.18439257;0.0;0.0;0.0;SMR;ref
Marseille;2030;35483021.46212868;34752077.62226415;4602207.712339371;0.0;6074914.18028797;63462488.4148822;0.0;0.0;1.0;0.0;0.0;0.0;163234927.38670883;0.0;0.0;0.0;SMR;ref
Marseille;2040;37723834.54358993;53079743.50672226;5141956.835570143;0.0;6777139.542106446;90881356.59227481;0.0;0.0;1.0;0.0;0.0;0.0;183635741.11681986;0.0;0.0;0.0;SMR;ref
Marseille;2050;22853023.215415176;90989707.38743608;3016274.834953615;0.0;3979336.351407692;45053001.61930849;0.0;0.0;1.0;0.0;0.0;0.0;127843180.37114434;0.0;0.0;0.0;SMR;ref
Marseille;2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Imports;ref
Marseille;2030;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.183172962233096e-12;Imports;ref
Marseille;2040;0.0;0.0;3558.7859500862282;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;640581.4710155207;Imports;ref
