YEAR_op;CCS1;CCS2;SMR w/o CCUS;SMR + CCUS 50%;SMR + CCUS 90%;Solar;WindOffShore_flot;WindOnShore;curtailment;Alkaline electrolysis;PEM electrolysis;importsH2;importBM;import_elec;eSMR w/o CCUS;eSMR + CCUS 50%;Methane cracking;total_carbon;feedBiogas;feedRE;loadFac_elec;loadFac_SMR;loadFac_SMR+CCS50;loadFac_SMR+CCS90;carbon;totalProd;total_costs;costs;scenario;;
2020;0;0;3595,237309;0;0;0;0;0;0;0;0;0;0;0;0;0;0;936678428,5;0;0;0;0,998577173;0;0;8,684437659;3595,237309;165079658,6;1,530540216;BM_90;;
2030;0;0;0;4602,207712;0;0;0;0;0;0;0;0;0;0;0;0;0;546065172;0;0;0;0;1;0;3,955095802;4602,207712;315556337,7;2,285543211;BM_90;;
2040;0;0;238,9192054;4941,621177;-8,84E-32;19,09654922;0;133,78855;0;707,3357518;0;3,338827574;0;941,5286464;0;0;0;648857701,9;0;99,27603846;0,298890834;0,389774201;0,979121609;0;3,671329294;5891,214962;430285483,2;2,434616549;BM_90;;
2050;0;0;41,83843946;2943,354683;0;184,0204492;0;401,36565;0;3584,76558;0;43,84129754;0;4962,927344;0;0;0;361202760,9;0;380,1208437;0,299886908;0,202127165;0,583189619;0;1,820449973;6613,8;514775558,1;2,594451793;BM_90;;
2020;0;0;3595,237309;0;0;0;0;0;0;0;0;0;0;0;0;0;0;936678428,5;0;0;0;0,998577173;0;0;8,684437659;3595,237309;165079658,6;1,530540216;BM_60;;
2030;0;0;0;4602,207712;0;0;0;0;0;0;0;0;0;0;0;0;0;546065172;0;0;0;0;1;0;3,955095802;4602,207712;315556337,7;2,285543211;BM_60;;
2040;0;0;261,7448676;4917,222298;0;0;0;133,78855;0;708,9964176;-8,91E-34;3,251378199;486,8659459;963,1407716;0;0;0;552845861,7;373,0811221;86,87568182;0,296658821;0,39954826;0,978557931;0;3,128080627;5891,214962;428844801,4;2,426464966;BM_60;;
2050;0;0;125,1382192;3179,346536;0;164,9239;0;401,36565;0;3297,280283;0;12,03496185;2018,545673;4533,472229;0;0;0;-9,22E-06;1532,993334;367,720487;0,311621599;0,228843483;0,632709806;0;0;6613,8;496243514,4;2,501050906;BM_60;;
2020;0;0;3595,237309;0;0;0;0;0;0;0;0;0;0;0;0;0;0;936678428,5;0;0;0;0,998577173;0;0;8,684437659;3595,237309;165079658,6;1,530540216;woSMR_2030;;
2030;0;0;0;0;0;164,9239;0;267,5771;0;3519,111912;5,17E-31;1083,0958;0;5018,426745;0;0;0;16662145,78;0;280,8448052;0,303507053;0;0;0;0,120682267;4602,207712;537642237,2;3,894089321;woSMR_2030;;
2040;0;0;0;0;0;247,38585;0;401,36565;0;4796,923651;0;1094,291311;0;6785,770756;0;0;0;3018241,435;0;421,2672078;0,293365487;0;0;0;0,01707764;5891,214962;576842482,6;3,263856926;woSMR_2030;;
2050;0;0;0;0;0;247,38585;4078,365;401,36565;0;6062,081553;0;551,7184473;0;4643,129965;0;0;0;1264619,258;0;3069,556169;0,387593134;0;0;0;0,006373639;6613,8;603116362,9;3,039686529;woSMR_2030;;
2020;0;0;3595,237309;0;0;0;0;0;0;0;0;0;0;0;0;0;0;936678428,5;0;0;0;0,998577173;0;0;8,684437659;3595,237309;165079658,6;1,530540216;woSMR_2040;;
2030;0;0;4602,207712;0;0;7,08E-18;-4,12E-17;3,85E-14;0;4,29E-14;6,28E-15;2,58E-15;0;3,72E-14;0;0;0;1198929773;0;2,50E-14;0,616752389;1;0;0;8,683729262;4602,207712;324002181,8;2,346715621;woSMR_2040;;
