,AREA,YEAR_op,STOCK_TECHNO,storageCosts_Pvar
0,Marseille,2020,Battery,-0.0
1,Marseille,2020,saltCavernH2_G,-0.0
2,Marseille,2020,tankH2_G,-0.0
3,Marseille,2030,Battery,-0.0
4,Marseille,2030,saltCavernH2_G,679880.0569580066
5,Marseille,2030,tankH2_G,1.1249455850044523e-13
6,Marseille,2040,Battery,-0.0
7,Marseille,2040,saltCavernH2_G,2922102.097234365
8,Marseille,2040,tankH2_G,1046848.5843838388
9,Marseille,2050,Battery,-0.0
10,Marseille,2050,saltCavernH2_G,8509279.078738976
11,Marseille,2050,tankH2_G,4282791.883768611
