YEAR_op,SMR w/o CCUS,SMR + CCUS 50%,SMR + CCUS 90%,feedBiogas,Alkaline electrolysis,PEM electrolysis,importsH2,importBM,curtailment,totalProd,carbon,total_carbon,costs,total_costs,scenario,order
2020,3595.237309288123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3595.237309288123,8.684437659033595,936678428.4583316,1.5305402159637511,165079658.63396338,scenario_0.02_PACA,0
2030,1137.4448200409236,3464.762892297397,0.0,0.0,1.8346212163330545e-14,-6.506322021213396e-15,5.5230326856016995e-17,0.0,0.0,4602.207712338321,5.123786997530652,707421961.0924312,2.2238753290660482,307042085.72120064,scenario_0.02_PACA,0
2040,383.09890316402374,2448.408793185388,0.0,0.0,3056.3543124633197,0.0,3.3529529331694143,0.0,0.0,5891.214961745901,2.2184122038043337,392074294.9911536,2.155411979709823,380939859.10778576,scenario_0.02_PACA,0
2050,0.0,1636.5835885837682,0.0,218.14689205775278,4960.890716412368,0.0,16.325695003747747,287.95389751623367,0.0,6613.799999999884,0.6893823199814364,136783103.63679433,2.289103146494783,454190111.70860785,scenario_0.02_PACA,0
2020,3595.237309288123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3595.237309288123,8.684437659033595,936678428.4583316,1.5305402159637609,165079658.63396442,scenario_0.03_PACA,1
2030,-5.970501526388613e-16,4602.207712339371,0.0,-1.8092428867844303e-17,2.7828488381300587e-28,1.1914955112458162e-29,0.0,0.0,0.0,4602.207712339371,3.955095801526128,546065172.0247384,2.235646864480788,308667337.25342447,scenario_0.03_PACA,1
2040,226.09999097486624,3623.0862716244615,0.0,0.0,2035.3682898620239,0.0,6.6604092850672085,0.0,0.0,5891.214961746419,2.7717928717487212,489876829.1072442,2.302311279221345,406902319.6423898,scenario_0.03_PACA,1
2050,0.0,2483.7954668127663,0.0,290.8069933231692,4118.839625755929,0.0,11.164907431266709,383.86523118658334,0.0,6613.799999999961,1.097056192668878,217671307.4122015,2.4556886729801843,487243012.36068743,scenario_0.03_PACA,1
2020,3595.237309288123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3595.237309288123,8.684437659033595,936678428.4583316,1.5305402159638466,165079658.63397366,scenario_0.04_PACA,2
2030,1.1215919049658879e-15,4602.207712339371,0.0,0.0,-7.986338268082026e-15,-1.6194695873016935e-15,2.879540534573942e-17,0.0,0.0,4602.207712339371,3.955095801526128,546065172.0247384,2.2855432105745157,315556337.7177277,scenario_0.04_PACA,2
2040,256.0870211535751,4885.869814416567,0.0,0.0,745.6993402263649,0.0,3.5587859500862282,0.0,0.0,5891.214961746594,3.65938577594885,646746847.022176,2.433085850200166,430014952.9173945,scenario_0.04_PACA,2
2050,53.66076827700913,2962.614066676606,0.0,345.4364585707222,3553.832536898979,0.0,43.69262814755569,453.82969458227296,0.0,6613.800000000149,1.3819926963855536,274206698.8606494,2.5872283095044684,513342317.80203116,scenario_0.04_PACA,2
