,AREA,YEAR_op,RESOURCES,importCosts_Pvar
0,Marseille,2020,gazNat,22409069.00555471
1,Marseille,2020,gazBio,-0.0
2,Marseille,2020,electricity,-0.0
3,Marseille,2020,gaz,-0.0
4,Marseille,2020,hydrogen,-0.0
5,Marseille,2030,gazNat,29164510.171058275
6,Marseille,2030,gazBio,-0.0
7,Marseille,2030,electricity,1.8695576242388024e-10
8,Marseille,2030,gaz,-0.0
9,Marseille,2030,hydrogen,2.1067996910449246e-12
10,Marseille,2040,gazNat,19399128.17826912
11,Marseille,2040,gazBio,-0.0
12,Marseille,2040,electricity,-5.2042265344201334e-11
13,Marseille,2040,gaz,-0.0
14,Marseille,2040,hydrogen,2.4117888866644125e-11
15,Marseille,2050,gazNat,5274953.132703395
16,Marseille,2050,gazBio,1574073.2395600376
17,Marseille,2050,electricity,797150.2455088792
18,Marseille,2050,gaz,-0.0
19,Marseille,2050,hydrogen,1804194.4287803776
