,AREA,YEAR_op,STOCK_TECHNO,Cmax_Pvar
0,France,2020,saltCavernH2_G,0.0
1,France,2020,Battery,0.0
2,France,2030,saltCavernH2_G,2616.2305976542752
3,France,2030,Battery,0.0
4,France,2040,saltCavernH2_G,27382.20930601659
5,France,2040,Battery,3633.3453150050004
6,France,2050,saltCavernH2_G,47676.027901752765
7,France,2050,Battery,59237.04479502338
