YEAR_op,totalProd,carbon,total_carbon,costs,total_costs
2020,3595.237309288123,8.684437659033595,936678428.4583316,1.3188570480247555,142248121.94028595
2030,4602.207712339371,8.683729262085302,1198929773.4550817,1.9233838191354202,265554355.38641357
2040,5891.214961746644,8.683020865140263,1534606273.0161781,1.9930310924805235,352241237.73742557
2050,6613.8,8.68266666666779,1722762624.000223,2.241843085896469,444813054.045062
