,AREA,YEAR_op,TECHNOLOGIES,powerCosts_Pvar
0,Marseille,2020,curtailment,-0.0
1,Marseille,2020,SMR,419224.60790241195
2,Marseille,2020,WindOffShore_flot,0.0
3,Marseille,2020,WindOnShore,0.0
4,Marseille,2020,Solar,0.0
5,Marseille,2030,curtailment,-0.0
6,Marseille,2030,SMR,362536.74247585185
7,Marseille,2030,WindOffShore_flot,0.0
8,Marseille,2030,WindOnShore,0.0
9,Marseille,2030,Solar,0.0
10,Marseille,2040,curtailment,-0.0
11,Marseille,2040,SMR,313514.2526641489
12,Marseille,2040,WindOffShore_flot,0.0
13,Marseille,2040,WindOnShore,0.0
14,Marseille,2040,Solar,0.0
15,Marseille,2050,curtailment,-0.0
16,Marseille,2050,SMR,237777.13182088477
17,Marseille,2050,WindOffShore_flot,0.0
18,Marseille,2050,WindOnShore,0.0
19,Marseille,2050,Solar,0.0
