YEAR_op;totalProd;total_carbon;total_costs;scenario;;;;;;;;;
2050;6613,8;2025081,392;527766857,8;Caverns_CCS10_woSMR;;;;;;;;;
2020;3595,237309;936678428,5;165079658,6;CavernREinf_woSMR;;621073799,5;949451123,5;1642918796;;;;;
2030;4602,207712;9602038,659;470695843,6;CavernREinf_woSMR;;;;2,64528756;;;;;
2040;5891,214962;1944714,791;502681884,4;CavernREinf_woSMR;;;;;;;;;
2050;6613,8;1225941,556;504461409,1;CavernREinf_woSMR;;;;;;;;;
2020;3595,237309;936678428,5;173275594,9;CavernREinf_TC200;;621073799,5;2131953879;1417060034;;;;;
2030;4602,207712;731943959,3;331010292,1;CavernREinf_TC200;;;;2,281629067;0,377282338;;;;
2040;5891,214962;462992610,4;422958266,8;CavernREinf_TC200;;;;;;;;;
2050;6613,8;338881,2392;489815880;CavernREinf_TC200;;;;;;;;;
2020;3595,237309;936678428,5;173275594,9;CavernREinf_TC200_woSMR;;621073799,5;949415685,2;1651380209;;;;;
2030;4602,207712;9568705,3;470861913,5;CavernREinf_TC200_woSMR;;;;2,658911405;;;;;
2040;5891,214962;1942588,634;502728984,4;CavernREinf_TC200_woSMR;;;;;;;;;
2050;6613,8;1225962,813;504513715,8;CavernREinf_TC200_woSMR;;;;;;;;;
2020;3595,237309;936678428,5;165079658,6;CavernREinf_CCS10;;621073799,5;2078099316;1314638624;;;;;
2030;4602,207712;452350571,4;287133516,8;CavernREinf_CCS10;;;;2,116718858;0,528568702;;;;
2040;5891,214962;454052578,8;386257778,3;CavernREinf_CCS10;;;;;;;;;
2050;6613,8;235017737,6;476167670;CavernREinf_CCS10;;;;;;;;;
2020;3595,237309;936678428,5;165079658,6;CavernREinf_CCS10_woSMR;;621073799,5;949451123,5;1642918796;;;;;
2030;4602,207712;9602038,659;470695843,6;CavernREinf_CCS10_woSMR;;;;2,64528756;;;;;
2040;5891,214962;1944714,791;502681884,4;CavernREinf_CCS10_woSMR;;;;;;;;;
2050;6613,8;1225941,556;504461409,1;CavernREinf_CCS10_woSMR;;;;;;;;;
2020;3595,237309;936678428,5;165079658,6;gas_x5_woSMR;;621073799,5;955611061,5;1891019452;;;;;
2030;4602,207712;14689820,76;541297505;gas_x5_woSMR;;;;3,044758052;;;;;
2040;5891,214962;2979806,231;579881101,8;gas_x5_woSMR;;;;;;;;;
2050;6613,8;1263006,06;604761186,3;gas_x5_woSMR;;;;;;;;;
2020;3595,237309;936678428,5;173275594,9;gas_x5_TC200;;621073799,5;1107979590;1737543829;;;;;
2030;4602,207712;167694209,9;489193181,3;gas_x5_TC200;;;;2,797644708;0,260920604;;;;
2040;5891,214962;3606951,772;499147454,1;gas_x5_TC200;;;;;;;;;
2050;6613,8;-3,54E-07;575927598,4;gas_x5_TC200;;;;;;;;;
2020;3595,237309;936678428,5;173275594,9;gas_x5_TC200_woSMR;;621073799,5;955582862,1;1899594779;;;;;
2030;4602,207712;14665586,57;541554489;gas_x5_TC200_woSMR;;;;3,058565312;;;;;
2040;5891,214962;2979806,231;579959321,7;gas_x5_TC200_woSMR;;;;;;;;;
2050;6613,8;1259040,864;604805373,7;gas_x5_TC200_woSMR;;;;;;;;;
2020;3595,237309;936678428,5;165079658,6;gas_x5_CCS10;;621073799,5;1127790494;1720900597;;;;;
2030;4602,207712;191112065,1;484289424,1;gas_x5_CCS10;;;;2,770847198;0,273910854;;;;
2040;5891,214962;-3,05E-06;496116395,7;gas_x5_CCS10;;;;;;;;;
2050;6613,8;-1,41E-06;575415118,5;gas_x5_CCS10;;;;;;;;;
2020;3595,237309;936678428,5;165079658,6;gas_x5_CCS10_woSMR;;621073799,5;955611061,5;1891019452;;;;;
2030;4602,207712;14689820,76;541297505;gas_x5_CCS10_woSMR;;;;3,044758052;;;;;
2040;5891,214962;2979806,231;579881101,8;gas_x5_CCS10_woSMR;;;;;;;;;
2050;6613,8;1263006,06;604761186,3;gas_x5_CCS10_woSMR;;;;;;;;;
2020;3595,237309;936678428,5;165079658,6;BM_90_woSMR;;621073799,5;954252208,6;1901603459;;;;;
2030;4602,207712;13370327,82;550709571,7;BM_90_woSMR;;;;3,061799516;;;;;
2040;5891,214962;2942404,222;581214491,5;BM_90_woSMR;;;;;;;;;
2050;6613,8;1261048,087;604599736,8;BM_90_woSMR;;;;;;;;;
2020;3595,237309;936678428,5;173275594,9;BM_90_TC200;;621073799,5;2284055789;1473385328;;;;;
2030;4602,207712;546065172;325112478,2;BM_90_TC200;;;;2,372319247;0,703248544;;;;
2040;5891,214962;491535346;440873554,1;BM_90_TC200;;;;;;;;;
2050;6613,8;309776842,7;534123701;BM_90_TC200;;;;;;;;;
2020;3595,237309;936678428,5;173275594,9;BM_90_TC200_woSMR;;621073799,5;954222566,6;1910154573;;;;;
