,AREA,YEAR_op,STOCK_TECHNO,storageCosts_Pvar
0,Marseille,2020,Battery,-0.0
1,Marseille,2020,saltCavernH2_G,-0.0
2,Marseille,2020,tankH2_G,-0.0
3,Marseille,2030,Battery,-0.0
4,Marseille,2030,saltCavernH2_G,1946234.755606739
5,Marseille,2030,tankH2_G,1325430.2276909174
6,Marseille,2040,Battery,-0.0
7,Marseille,2040,saltCavernH2_G,5893549.75208489
8,Marseille,2040,tankH2_G,4071359.8486855226
9,Marseille,2050,Battery,-0.0
10,Marseille,2050,saltCavernH2_G,13911200.324459983
11,Marseille,2050,tankH2_G,4214929.55641498
