,AREA,YEAR_op,STOCK_TECHNO,storageCosts_Pvar
0,France,2020,saltCavernH2_G,-0.0
1,France,2020,Battery,-0.0
2,France,2030,saltCavernH2_G,-0.0
3,France,2030,Battery,-0.0
4,France,2040,saltCavernH2_G,33587318.9650428
5,France,2040,Battery,-0.0
6,France,2050,saltCavernH2_G,42041050.45539106
7,France,2050,Battery,44242475.05672779
