,AREA,YEAR_op,STOCK_TECHNO,Cmax_Pvar
0,France,2020,saltCavernH2_G,0.0
1,France,2020,Battery,0.0
2,France,2030,saltCavernH2_G,2504.0282132977172
3,France,2030,Battery,0.0
4,France,2040,saltCavernH2_G,26775.468540201462
5,France,2040,Battery,3633.3453150050004
6,France,2050,saltCavernH2_G,47669.241006319266
7,France,2050,Battery,59116.18248364661
