,AREA,YEAR_op,STOCK_TECHNO,storageCosts_Pvar
0,France,2020,saltCavernH2_G,-0.0
1,France,2020,Battery,-0.0
2,France,2030,saltCavernH2_G,40773043.67850499
3,France,2030,Battery,-0.0
4,France,2040,saltCavernH2_G,221945317.60423186
5,France,2040,Battery,32100062.40695761
6,France,2050,saltCavernH2_G,378929137.99099016
7,France,2050,Battery,278776240.5744227
