YEAR_op,SMR w/o CCUS,SMR + CCUS 50%,SMR + CCUS 90%,feedBiogas,Alkaline electrolysis,PEM electrolysis,importsH2,importBM,curtailment,totalProd,carbon,total_carbon,costs,total_costs,scenario,order
2020,3595.237309288123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3595.237309288123,8.684437659033595,936678428.4583316,1.5305402159638466,165079658.63397366,scenario_0.1_PACA,0
2030,0.0,4602.207712339371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4602.207712339371,3.955095801526128,546065172.0247384,2.2855432105745157,315556337.7177277,scenario_0.1_PACA,0
2040,0.0,5891.214961746644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5891.214961746644,3.954365267175497,698880474.7858666,2.4515410294818247,433276655.7665729,scenario_0.1_PACA,0
2050,23.03561710381452,4004.505782246228,0.0,383.48410544442555,2572.590529292434,-2.227923007727748e-18,13.668071357741843,505.27759450248914,0.0,6613.8000000002185,1.9098973653107139,378950375.84077245,2.6954082059641187,534806723.77818227,scenario_0.1_PACA,0
2020,3595.237309288123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3595.237309288123,8.684437659033595,936678428.4583316,1.5305402159638466,165079658.63397366,scenario_0.12_PACA,1
2030,-1.1339568738576392e-15,4602.207712339371,0.0,-3.436232951083761e-17,9.941406562022583e-15,3.615733267122132e-16,-3.996533397619434e-18,0.0,0.0,4602.207712339371,3.955095801526128,546065172.0247384,2.2855432105745157,315556337.7177277,scenario_0.12_PACA,1
2040,71.02276954439438,5544.851572753383,0.0,0.0,270.27357132357105,0.0,5.067048124589903,0.0,0.0,5891.214961745938,3.8272509348604826,676414739.0941861,2.4512135210771047,433218773.0941015,scenario_0.12_PACA,1
2050,-8.835242138475332e-32,3506.5848191485275,0.0,356.9372203399345,3100.357182907233,0.0,6.857997944413039,471.1571308487136,0.0,6613.800000000174,1.6182512780577396,321083709.08455676,2.6504488920741687,525886166.4720179,scenario_0.12_PACA,1
2020,3595.237309288123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3595.237309288123,8.684437659033595,936678428.4583316,1.5305402159638466,165079658.63397366,scenario_0.14_PACA,2
2030,-9.327098925606882e-16,4602.207712339371,0.0,-2.82639361382027e-17,1.7513947037781586e-15,-1.9158367383888385e-16,-2.9144022718313336e-17,0.0,0.0,4602.207712339371,3.955095801526128,546065172.0247384,2.2855432105745157,315556337.7177277,scenario_0.14_PACA,2
2040,361.6874178560787,4536.92926703873,0.0,0.0,989.1550480113773,0.0,3.443228839636656,0.0,0.0,5891.214961745823,3.5817014091896637,633017187.9097273,2.4348489233120545,430326552.19820046,scenario_0.14_PACA,2
2050,138.01602192928655,2976.403681961968,0.0,349.2044468136239,3482.39028146002,9.019887973146156e-16,16.990014648812764,455.42922891681206,0.0,6613.800000000087,1.4994021164240812,297502371.52817154,2.6299731308103436,521823488.7766103,scenario_0.14_PACA,2
2020,3595.237309288123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3595.237309288123,8.684437659033595,936678428.4583316,1.5305402159638466,165079658.63397366,scenario_0.16_PACA,3
2030,0.0,4602.207712339371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4602.207712339371,3.955095801526128,546065172.0247384,2.2855432105745157,315556337.7177277,scenario_0.16_PACA,3
2040,334.9489533271333,3780.4470554336312,0.0,0.0,1771.747665519912,-1.0400257448287552e-08,4.071287476090705,0.0,0.0,5891.214961746367,3.037378789986294,536815541.16174996,2.404517763599075,424965930.7409935,scenario_0.16_PACA,3
2050,144.48327457502756,2858.652898986475,0.0,344.71379630748163,3588.397885536328,1.208620402500649e-22,22.2659409023894,449.2428801428747,0.0,6613.800000000219,1.4439229602653962,286494530.23810786,2.6166277556966007,519175579.5188025,scenario_0.16_PACA,3
2020,3595.237309288123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3595.237309288123,8.684437659033595,936678428.4583316,1.5305402159638466,165079658.63397366,scenario_0.18_PACA,4
2030,-2.3338641649939246e-17,4602.207712339371,0.0,-7.072315651496752e-19,-9.689212629068297e-16,-3.6617261432910216e-16,4.333887056352562e-18,0.0,0.0,4602.207712339371,3.955095801526128,546065172.0247384,2.2855432105745157,315556337.7177277,scenario_0.18_PACA,4
2040,304.24151205925557,3647.688037227972,0.0,0.0,1934.8952285210632,0.0,4.390183938048777,0.0,0.0,5891.214961746339,2.9035604300801707,513164959.4406881,2.3792315604732983,420496936.99558157,scenario_0.18_PACA,4
2050,140.03498275716504,2800.599410621917,0.0,344.0939074108936,3628.5559784387674,0.0,44.60962818222073,448.602558472093,0.0,6613.80000000007,1.404115819916461,278596236.2929076,2.6005355321544865,515982657.0769058,scenario_0.18_PACA,4
2020,3595.237309288123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3595.237309288123,8.684437659033595,936678428.4583316,1.5305402159638466,165079658.63397366,scenario_0.2_PACA,5
2030,265.0252859260009,4337.182426412518,0.0,0.0,1.433890551609532e-14,-4.651535093014479e-16,1.278598472327322e-16,0.0,0.0,4602.207712338519,4.227401510712288,583661395.0725478,2.2890659189116223,316042704.78198975,scenario_0.2_PACA,5
2040,307.81078054513694,3279.740081419444,0.0,0.0,2296.280439169024,0.0,7.383660612228167,0.0,0.0,5891.2149617458335,2.6628606407107305,470624533.4279746,2.3438522881759174,414244130.0467251,scenario_0.2_PACA,5
2050,182.40807341670683,2624.6625686839116,0.0,338.23017783313037,3754.025771651347,0.0,52.70358624807911,439.1675118030638,0.0,6613.800000000045,1.3643966810761554,270715403.07904613,2.586748908731841,513247197.97712296,scenario_0.2_PACA,5
2020,3595.237309288123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3595.237309288123,8.684437659033595,936678428.4583316,1.5305402159638466,165079658.63397366,scenario_0.22_PACA,6
2030,663.8888760990567,3938.3188362402307,0.0,0.0,-3.240477559588675e-15,-5.682192650806195e-16,2.270672931767521e-31,0.0,0.0,4602.207712339287,4.637222152580986,640243786.6331642,2.2943676020662296,316774688.195118,scenario_0.22_PACA,6
