YEAR_op;SMR w/o CCUS;SMR + CCUS 50%;SMR + CCUS 90%;feedBiogas;Alkaline electrolysis;PEM electrolysis;importsH2;importBM;curtailment;totalProd;carbon;total_carbon;costs;total_costs;scenario;order;;;;;;;;;;;
2040;307,8107805;3279,740081;0;0;2296,280439;0;7,383660612;0;0;5891,214962;2,662860641;470624533,4;2,343852288;414244130;scenario_0,2_PACA;5;;;;;;;;;;;
2050;182,4080734;2624,662569;0;338,2301778;3754,025772;0;52,70358625;439,1675118;0;6613,8;1,364396681;270715403,1;2,586748909;513247198;scenario_0,2_PACA;5;;;;;;;;;;;
2020;3595,237309;0;0;0;0;0;0;0;0;3595,237309;8,684437659;936678428,5;1,530540216;165079658,6;scenario_0,22_PACA;6;;;;;;;;;;;
2030;663,8888761;3938,318836;0;0;-3,24E-15;-5,68E-16;2,27E-31;0;0;4602,207712;4,637222153;640243786,6;2,294367602;316774688,2;scenario_0,22_PACA;6;;;;;;;;;;;
2040;318,5736255;2749,31399;0;0;2809,085584;0;14,24176233;0;0;5891,214962;2,324448235;410814726,5;2,295225156;405649943,3;scenario_0,22_PACA;6;;;;;;;;;;;
2050;231,7695805;2301,848044;0;325,2784182;4015,631091;0;64,5512845;420,0967289;0;6613,8;1,256399921;249287333,8;2,582067564;512318353,6;scenario_0,22_PACA;6;;;;;;;;;;;
2020;3595,237309;0;0;0;0;0;0;0;0;3595,237309;8,684437659;936678428,5;1,530540216;165079658,6;scenario_0,24_PACA;7;;;;;;;;;;;
2030;977,8586921;3624,34902;0;0;7,65E-16;5,62E-16;-4,73E-33;0;0;4602,207712;4,959816931;684783232;2,29854088;317350876,9;scenario_0,24_PACA;7;;;;;;;;;;;
2040;368,5289684;2427,31635;0;0;3075,48364;0;19,88600412;0;0;5891,214962;2,183154172;385842915,6;2,252582611;398113451,5;scenario_0,24_PACA;7;;;;;;;;;;;
2050;283,5135649;2078,564546;0;319,2454361;4180,989926;0;70,73196229;410,0634331;0;6613,8;1,201465844;238387644;2,570138203;509951401,3;scenario_0,24_PACA;7;;;;;;;;;;;
2020;3595,237309;0;0;0;0;0;0;0;0;3595,237309;8,684437659;936678428,5;1,530540216;165079658,6;scenario_0,26_PACA;8;;;;;;;;;;;
2030;1162,995662;3439,212051;0;0;-1,21E-14;-1,83E-15;-1,31E-17;0;0;4602,207712;5,150039738;711046578;2,301001715;317690635,1;scenario_0,26_PACA;8;;;;;;;;;;;
2040;390,2744041;2201,746358;-2,27E-16;0;3282,290844;-1,14E-16;16,90335564;0;0;5891,214962;2,064428673;364859792,6;2,218206261;392037897,3;scenario_0,26_PACA;8;;;;;;;;;;;
2050;305,5922707;1913,982243;0;312,503359;4315,232552;0;78,99293439;400,280743;0;6613,8;1,142368634;226661930,1;2,554636387;506875624,1;scenario_0,26_PACA;8;;;;;;;;;;;
2020;3595,237309;0;0;0;0;0;0;0;0;3595,237309;8,684437659;936678428,5;1,530540216;165079658,6;scenario_0,28_PACA;9;;;;;;;;;;;
2030;1403,674582;3198,533131;0;0;2,91E-15;-2,29E-15;-2,34E-17;0;0;4602,207712;5,39733027;745189049,9;2,304200812;318132322,4;scenario_0,28_PACA;9;;;;;;;;;;;
2040;425,423702;1992,625918;0;0;3452,949273;0;20,21606883;0;0;5891,214962;1,976483253;349316631,4;2,180606779;385392698,5;scenario_0,28_PACA;9;;;;;;;;;;;
2050;352,0583565;1761,368726;0;306,8132428;4416,778438;2,38E-17;83,5944804;392,7209507;0;6613,8;1,120015854;222226825,7;2,536885893;503353677,5;scenario_0,28_PACA;9;;;;;;;;;;;
