,AREA,YEAR_op,HORAIRE,max_PS_Dvar
0,Marseille,2020,HCE,0.0
1,Marseille,2020,P,0.0
2,Marseille,2020,HCH,0.0
3,Marseille,2020,HPE,0.0
4,Marseille,2020,HPH,0.0
5,Marseille,2030,HCE,5.454017467936453e-14
6,Marseille,2030,P,0.0
7,Marseille,2030,HCH,5.454017467936453e-14
8,Marseille,2030,HPE,5.454017467936453e-14
9,Marseille,2030,HPH,5.454017467936453e-14
10,Marseille,2040,HCE,2854.413067312825
11,Marseille,2040,P,2821.3130673128253
12,Marseille,2040,HCH,2854.413067312825
13,Marseille,2040,HPE,2854.413067312825
14,Marseille,2040,HPH,2854.413067312825
15,Marseille,2050,HCE,2768.8272877874065
16,Marseille,2050,P,2511.8772877874067
17,Marseille,2050,HCH,2768.8272877874065
18,Marseille,2050,HPE,2768.8272877874065
19,Marseille,2050,HPH,2768.8272877874065
