,AREA,YEAR_op,STOCK_TECHNO,storageCosts_Pvar
0,France,2020,saltCavernH2_G,-0.0
1,France,2020,Battery,-0.0
2,France,2030,saltCavernH2_G,35480764.62723625
3,France,2030,Battery,-0.0
4,France,2040,saltCavernH2_G,220133995.60445753
5,France,2040,Battery,32100062.40695761
6,France,2050,saltCavernH2_G,376229104.16054773
7,France,2050,Battery,275704904.42946154
