,AREA,YEAR_op,TIMESTAMP,STOCK_TECHNO,stockLevel_Pvar
116,Marseille,2020,39,tankH2_G,-0.0
117,Marseille,2020,40,Battery,0.0
118,Marseille,2020,40,saltCavernH2_G,-0.0
119,Marseille,2020,40,tankH2_G,-0.0
120,Marseille,2020,41,Battery,0.0
121,Marseille,2020,41,saltCavernH2_G,-0.0
122,Marseille,2020,41,tankH2_G,-0.0
123,Marseille,2020,42,Battery,0.0
124,Marseille,2020,42,saltCavernH2_G,-0.0
125,Marseille,2020,42,tankH2_G,-0.0
126,Marseille,2020,43,Battery,0.0
127,Marseille,2020,43,saltCavernH2_G,-0.0
128,Marseille,2020,43,tankH2_G,-0.0
129,Marseille,2020,44,Battery,0.0
130,Marseille,2020,44,saltCavernH2_G,-0.0
131,Marseille,2020,44,tankH2_G,-0.0
132,Marseille,2020,45,Battery,0.0
133,Marseille,2020,45,saltCavernH2_G,-0.0
134,Marseille,2020,45,tankH2_G,-0.0
135,Marseille,2020,46,Battery,0.0
136,Marseille,2020,46,saltCavernH2_G,-0.0
137,Marseille,2020,46,tankH2_G,-0.0
138,Marseille,2020,47,Battery,0.0
139,Marseille,2020,47,saltCavernH2_G,-0.0
140,Marseille,2020,47,tankH2_G,-0.0
141,Marseille,2020,48,Battery,0.0
142,Marseille,2020,48,saltCavernH2_G,-0.0
143,Marseille,2020,48,tankH2_G,-0.0
144,Marseille,2020,49,Battery,0.0
145,Marseille,2020,49,saltCavernH2_G,-0.0
146,Marseille,2020,49,tankH2_G,-0.0
147,Marseille,2020,50,Battery,0.0
148,Marseille,2020,50,saltCavernH2_G,-0.0
149,Marseille,2020,50,tankH2_G,-0.0
150,Marseille,2020,51,Battery,0.0
151,Marseille,2020,51,saltCavernH2_G,-0.0
152,Marseille,2020,51,tankH2_G,-0.0
153,Marseille,2020,52,Battery,0.0
154,Marseille,2020,52,saltCavernH2_G,-0.0
155,Marseille,2020,52,tankH2_G,-0.0
156,Marseille,2020,53,Battery,0.0
157,Marseille,2020,53,saltCavernH2_G,-0.0
158,Marseille,2020,53,tankH2_G,-0.0
159,Marseille,2020,54,Battery,0.0
160,Marseille,2020,54,saltCavernH2_G,-0.0
161,Marseille,2020,54,tankH2_G,-0.0
162,Marseille,2020,55,Battery,0.0
163,Marseille,2020,55,saltCavernH2_G,-0.0
164,Marseille,2020,55,tankH2_G,-0.0
165,Marseille,2020,56,Battery,0.0
166,Marseille,2020,56,saltCavernH2_G,-0.0
167,Marseille,2020,56,tankH2_G,-0.0
168,Marseille,2020,57,Battery,0.0
169,Marseille,2020,57,saltCavernH2_G,-0.0
170,Marseille,2020,57,tankH2_G,-0.0
171,Marseille,2020,58,Battery,0.0
172,Marseille,2020,58,saltCavernH2_G,-0.0
173,Marseille,2020,58,tankH2_G,-0.0
174,Marseille,2020,59,Battery,0.0
175,Marseille,2020,59,saltCavernH2_G,-0.0
176,Marseille,2020,59,tankH2_G,-0.0
177,Marseille,2020,60,Battery,0.0
178,Marseille,2020,60,saltCavernH2_G,-0.0
179,Marseille,2020,60,tankH2_G,-0.0
180,Marseille,2020,61,Battery,0.0
181,Marseille,2020,61,saltCavernH2_G,-0.0
182,Marseille,2020,61,tankH2_G,-0.0
183,Marseille,2020,62,Battery,0.0
184,Marseille,2020,62,saltCavernH2_G,-0.0
185,Marseille,2020,62,tankH2_G,-0.0
186,Marseille,2020,63,Battery,0.0
187,Marseille,2020,63,saltCavernH2_G,-0.0
188,Marseille,2020,63,tankH2_G,-0.0
189,Marseille,2020,64,Battery,0.0
190,Marseille,2020,64,saltCavernH2_G,-0.0
191,Marseille,2020,64,tankH2_G,-0.0
192,Marseille,2020,65,Battery,0.0
193,Marseille,2020,65,saltCavernH2_G,-0.0
194,Marseille,2020,65,tankH2_G,-0.0
195,Marseille,2020,66,Battery,0.0
196,Marseille,2020,66,saltCavernH2_G,-0.0
197,Marseille,2020,66,tankH2_G,-0.0
198,Marseille,2020,67,Battery,0.0
199,Marseille,2020,67,saltCavernH2_G,-0.0
200,Marseille,2020,67,tankH2_G,-0.0
201,Marseille,2020,68,Battery,0.0
202,Marseille,2020,68,saltCavernH2_G,-0.0
203,Marseille,2020,68,tankH2_G,-0.0
204,Marseille,2020,69,Battery,0.0
205,Marseille,2020,69,saltCavernH2_G,-0.0
206,Marseille,2020,69,tankH2_G,-0.0
207,Marseille,2020,70,Battery,0.0
208,Marseille,2020,70,saltCavernH2_G,-0.0
209,Marseille,2020,70,tankH2_G,-0.0
210,Marseille,2020,71,Battery,0.0
211,Marseille,2020,71,saltCavernH2_G,-0.0
212,Marseille,2020,71,tankH2_G,-0.0
213,Marseille,2020,72,Battery,0.0
214,Marseille,2020,72,saltCavernH2_G,-0.0
215,Marseille,2020,72,tankH2_G,-0.0
216,Marseille,2020,73,Battery,0.0
217,Marseille,2020,73,saltCavernH2_G,-0.0
218,Marseille,2020,73,tankH2_G,-0.0
219,Marseille,2020,74,Battery,0.0
220,Marseille,2020,74,saltCavernH2_G,-0.0
221,Marseille,2020,74,tankH2_G,-0.0
222,Marseille,2020,75,Battery,0.0
223,Marseille,2020,75,saltCavernH2_G,-0.0
224,Marseille,2020,75,tankH2_G,-0.0
225,Marseille,2020,76,Battery,0.0
226,Marseille,2020,76,saltCavernH2_G,-0.0
227,Marseille,2020,76,tankH2_G,-0.0
228,Marseille,2020,77,Battery,0.0
229,Marseille,2020,77,saltCavernH2_G,-0.0
230,Marseille,2020,77,tankH2_G,-0.0
231,Marseille,2020,78,Battery,0.0
232,Marseille,2020,78,saltCavernH2_G,-0.0
233,Marseille,2020,78,tankH2_G,-0.0
234,Marseille,2020,79,Battery,0.0
235,Marseille,2020,79,saltCavernH2_G,-0.0
236,Marseille,2020,79,tankH2_G,-0.0
237,Marseille,2020,80,Battery,0.0
238,Marseille,2020,80,saltCavernH2_G,-0.0
239,Marseille,2020,80,tankH2_G,-0.0
240,Marseille,2020,81,Battery,0.0
241,Marseille,2020,81,saltCavernH2_G,-0.0
242,Marseille,2020,81,tankH2_G,-0.0
243,Marseille,2020,82,Battery,0.0
244,Marseille,2020,82,saltCavernH2_G,-0.0
245,Marseille,2020,82,tankH2_G,-0.0
246,Marseille,2020,83,Battery,0.0
247,Marseille,2020,83,saltCavernH2_G,-0.0
248,Marseille,2020,83,tankH2_G,-0.0
249,Marseille,2020,84,Battery,0.0
250,Marseille,2020,84,saltCavernH2_G,-0.0
251,Marseille,2020,84,tankH2_G,-0.0
252,Marseille,2020,85,Battery,0.0
253,Marseille,2020,85,saltCavernH2_G,-0.0
254,Marseille,2020,85,tankH2_G,-0.0
255,Marseille,2020,86,Battery,0.0
256,Marseille,2020,86,saltCavernH2_G,-0.0
257,Marseille,2020,86,tankH2_G,-0.0
258,Marseille,2020,87,Battery,0.0
259,Marseille,2020,87,saltCavernH2_G,-0.0
260,Marseille,2020,87,tankH2_G,-0.0
261,Marseille,2020,88,Battery,0.0
262,Marseille,2020,88,saltCavernH2_G,-0.0
263,Marseille,2020,88,tankH2_G,-0.0
264,Marseille,2020,89,Battery,0.0
265,Marseille,2020,89,saltCavernH2_G,-0.0
266,Marseille,2020,89,tankH2_G,-0.0
267,Marseille,2020,90,Battery,0.0
268,Marseille,2020,90,saltCavernH2_G,-0.0
269,Marseille,2020,90,tankH2_G,-0.0
270,Marseille,2020,91,Battery,0.0
271,Marseille,2020,91,saltCavernH2_G,-0.0
272,Marseille,2020,91,tankH2_G,-0.0
273,Marseille,2020,92,Battery,0.0
274,Marseille,2020,92,saltCavernH2_G,-0.0
275,Marseille,2020,92,tankH2_G,-0.0
276,Marseille,2020,93,Battery,0.0
277,Marseille,2020,93,saltCavernH2_G,-0.0
278,Marseille,2020,93,tankH2_G,-0.0
279,Marseille,2020,94,Battery,0.0
280,Marseille,2020,94,saltCavernH2_G,-0.0
281,Marseille,2020,94,tankH2_G,-0.0
282,Marseille,2020,95,Battery,0.0
283,Marseille,2020,95,saltCavernH2_G,-0.0
284,Marseille,2020,95,tankH2_G,-0.0
285,Marseille,2020,96,Battery,0.0
286,Marseille,2020,96,saltCavernH2_G,-0.0
287,Marseille,2020,96,tankH2_G,-0.0
288,Marseille,2020,97,Battery,0.0
289,Marseille,2020,97,saltCavernH2_G,-0.0
290,Marseille,2020,97,tankH2_G,-0.0
291,Marseille,2020,98,Battery,0.0
292,Marseille,2020,98,saltCavernH2_G,-0.0
293,Marseille,2020,98,tankH2_G,-0.0
294,Marseille,2020,99,Battery,0.0
295,Marseille,2020,99,saltCavernH2_G,-0.0
296,Marseille,2020,99,tankH2_G,-0.0
297,Marseille,2020,100,Battery,0.0
298,Marseille,2020,100,saltCavernH2_G,-0.0
299,Marseille,2020,100,tankH2_G,-0.0
300,Marseille,2020,101,Battery,0.0
301,Marseille,2020,101,saltCavernH2_G,-0.0
302,Marseille,2020,101,tankH2_G,-0.0
303,Marseille,2020,102,Battery,0.0
304,Marseille,2020,102,saltCavernH2_G,-0.0
305,Marseille,2020,102,tankH2_G,-0.0
306,Marseille,2020,103,Battery,0.0
307,Marseille,2020,103,saltCavernH2_G,-0.0
308,Marseille,2020,103,tankH2_G,-0.0
309,Marseille,2020,104,Battery,0.0
310,Marseille,2020,104,saltCavernH2_G,-0.0
311,Marseille,2020,104,tankH2_G,-0.0
312,Marseille,2020,105,Battery,0.0
313,Marseille,2020,105,saltCavernH2_G,-0.0
314,Marseille,2020,105,tankH2_G,-0.0
315,Marseille,2020,106,Battery,0.0
316,Marseille,2020,106,saltCavernH2_G,-0.0
317,Marseille,2020,106,tankH2_G,-0.0
318,Marseille,2020,107,Battery,0.0
319,Marseille,2020,107,saltCavernH2_G,-0.0
320,Marseille,2020,107,tankH2_G,-0.0
321,Marseille,2020,108,Battery,0.0
322,Marseille,2020,108,saltCavernH2_G,-0.0
323,Marseille,2020,108,tankH2_G,-0.0
324,Marseille,2020,109,Battery,0.0
325,Marseille,2020,109,saltCavernH2_G,-0.0
326,Marseille,2020,109,tankH2_G,-0.0
327,Marseille,2020,110,Battery,0.0
328,Marseille,2020,110,saltCavernH2_G,-0.0
329,Marseille,2020,110,tankH2_G,-0.0
330,Marseille,2020,111,Battery,0.0
331,Marseille,2020,111,saltCavernH2_G,-0.0
332,Marseille,2020,111,tankH2_G,-0.0
333,Marseille,2020,112,Battery,0.0
334,Marseille,2020,112,saltCavernH2_G,-0.0
335,Marseille,2020,112,tankH2_G,-0.0
336,Marseille,2020,113,Battery,0.0
337,Marseille,2020,113,saltCavernH2_G,-0.0
