,AREA,YEAR_invest,STOCK_TECHNO,CmaxInvest_Dvar
0,France,2010,saltCavernH2_G,0.0
1,France,2010,Battery,-0.0
2,France,2020,saltCavernH2_G,1568.5212954171914
3,France,2020,Battery,0.0
4,France,2030,saltCavernH2_G,21353.776690808954
5,France,2030,Battery,3326.387686800127
6,France,2040,saltCavernH2_G,19456.15437223392
7,France,2040,Battery,46663.71006079213
