,AREA,YEAR_op,STOCK_TECHNO,Pmax_Pvar
0,Marseille,2020,tankH2_G,0.0
1,Marseille,2020,saltCavernH2_G,0.0
2,Marseille,2020,Battery,0.0
3,Marseille,2030,tankH2_G,778.5838716256181
4,Marseille,2030,saltCavernH2_G,272.4532691442219
5,Marseille,2030,Battery,0.0
6,Marseille,2040,tankH2_G,1032.2567157084072
7,Marseille,2040,saltCavernH2_G,402.1101824389638
8,Marseille,2040,Battery,0.0
9,Marseille,2050,tankH2_G,461.0570500587799
10,Marseille,2050,saltCavernH2_G,1102.8150138240442
11,Marseille,2050,Battery,0.0
