,AREA,YEAR_invest,STOCK_TECHNO,PmaxInvest_Dvar
0,Marseille,2010,tankH2_G,-0.0
1,Marseille,2010,saltCavernH2_G,0.0
2,Marseille,2010,Battery,0.0
3,Marseille,2020,tankH2_G,778.5838716256181
4,Marseille,2020,saltCavernH2_G,272.4532691442219
5,Marseille,2020,Battery,0.0
6,Marseille,2030,tankH2_G,253.67284408278914
7,Marseille,2030,saltCavernH2_G,129.6569132947419
8,Marseille,2030,Battery,0.0
9,Marseille,2040,tankH2_G,207.38420597599077
10,Marseille,2040,saltCavernH2_G,700.7048313850803
11,Marseille,2040,Battery,0.0
