,YEAR_invest,TECHNOLOGIES,capacityInvest_Dvar
0,2040,IntercoOut,0.0
1,2040,CCG_H2,0.0
2,2040,TAC,0.0
3,2040,NewNuke,6600.0
4,2040,IntercoIn,9700.0
5,2040,HydroRiver,1000.0
6,2040,WindOffShore,24100.0
7,2040,electrolysis_AEL,10035.877089567497
8,2040,curtailment,100000.0
9,2040,TAC_H2,385.6176680070743
10,2040,CCG,0.0
11,2040,OldNuke,100000.0
12,2040,Coal_p,0.0
13,2040,Solar,42400.0
14,2040,HydroReservoir,1000.0
15,2040,WindOnShore,18800.0
16,2010,IntercoOut,0.0
17,2010,CCG_H2,0.0
18,2010,TAC,7100.0
19,2010,NewNuke,0.0
20,2010,IntercoIn,0.0
21,2010,HydroRiver,100000.0
22,2010,WindOffShore,0.0
23,2010,electrolysis_AEL,0.0
24,2010,curtailment,100000.0
25,2010,TAC_H2,0.0
26,2010,CCG,100000.0
27,2010,OldNuke,100000.0
28,2010,Coal_p,6000.0
29,2010,Solar,4000.0
30,2010,HydroReservoir,100000.0
31,2010,WindOnShore,8000.0
32,2020,IntercoOut,0.0
33,2020,CCG_H2,0.0
34,2020,TAC,0.0
35,2020,NewNuke,0.0
36,2020,IntercoIn,9943.518085092692
37,2020,HydroRiver,0.0
38,2020,WindOffShore,5200.0
39,2020,electrolysis_AEL,2586.7186256682503
40,2020,curtailment,100000.0
41,2020,TAC_H2,0.0
42,2020,CCG,0.0
43,2020,OldNuke,100000.0
44,2020,Coal_p,0.0
45,2020,Solar,31100.000000000007
46,2020,HydroReservoir,0.0
47,2020,WindOnShore,25199.999999999996
48,2030,IntercoOut,0.0
49,2030,CCG_H2,0.0
50,2030,TAC,0.0
51,2030,NewNuke,6600.0
52,2030,IntercoIn,19756.48191490731
53,2030,HydroRiver,1000.0
54,2030,WindOffShore,15700.0
55,2030,electrolysis_AEL,1963.6429960759838
56,2030,curtailment,100000.0
57,2030,TAC_H2,0.0
58,2030,CCG,0.0
59,2030,OldNuke,100000.0
60,2030,Coal_p,0.0
61,2030,Solar,44500.0
62,2030,HydroReservoir,1000.0
63,2030,WindOnShore,14000.0
