,YEAR_op,RESOURCES,importCosts_Pvar
0,2040,gazBio,18800500.891949072
1,2040,hydrogen,-0.0
2,2040,uranium,883617942.447211
3,2040,electricity,-0.0
4,2040,gaz,-0.0
5,2040,gazNat,532632770.38619685
6,2050,gazBio,73368495.70355584
7,2050,hydrogen,-0.0
8,2050,uranium,331796866.120532
9,2050,electricity,-0.0
10,2050,gaz,-0.0
11,2050,gazNat,-0.0
12,2020,gazBio,-0.0
13,2020,hydrogen,-0.0
14,2020,uranium,2587704303.5180397
15,2020,electricity,-0.0
16,2020,gaz,-0.0
17,2020,gazNat,183048946.0654417
18,2030,gazBio,-0.0
19,2030,hydrogen,-0.0
20,2030,uranium,1634000628.5367355
21,2030,electricity,-0.0
22,2030,gaz,-0.0
23,2030,gazNat,849573427.7978191
