,YEAR_invest,STOCK_TECHNO,PmaxInvest_Dvar
0,2040,saltCavernH2_G,5889.52008564348
1,2040,Battery,7700.0
2,2010,saltCavernH2_G,0.0
3,2010,Battery,0.0
4,2020,saltCavernH2_G,1825.0
5,2020,Battery,-0.0
6,2030,saltCavernH2_G,575.0
7,2030,Battery,1000.0
