YEAR_op,CCS1,CCS2,SMR w/o CCUS,SMR + CCUS 50%,SMR + CCUS 90%,Solar,WindOffShore_flot,WindOnShore,curtailment,Alkaline electrolysis,PEM electrolysis
2020,0.0,0.0,411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030,0.0,0.0,0.0,525.3661772076151,0.0,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
2040,0.0,0.0,75.04750027871302,570.8185645881124,0.0,9.113924050633043,0.0,49.99999999999999,100000.0,286.4973958015853,0.0
2050,0.0,0.0,29.07586310116684,570.8185645881124,0.0,109.11392405063305,0.0,150.0,100000.0,1343.265533249966,0.0
