YEAR_op,Alkaline electrolysis,feedRE,import_elec,totalProd,carbon,total_carbon,costs,total_costs
2020,0.0,0.0,0.0,3595.237309288123,8.684437659033595,936678428.4583316,1.5305402159638466,165079658.63397366
2030,-7.986338268082026e-15,-1.4405142875709968e-14,7.542498305515458e-15,4602.207712339371,3.955095801526128,546065172.0247384,2.2855432105745157,315556337.7177277
2040,745.6993402263649,96.63609674502734,1004.9595411761343,5891.214961746594,3.65938577594885,646746847.022176,2.433085850200166,430014952.9173945
2050,3553.832536898979,377.4809019398319,4918.99328735669,6613.800000000149,1.3819926963855536,274206698.8606494,2.5872283095044684,513342317.80203116
