,AREA,YEAR_op,HORAIRE,max_PS_Dvar
0,Marseille,2020,HCH,-0.0
1,Marseille,2020,HPH,0.0
2,Marseille,2020,HPE,-0.0
3,Marseille,2020,HCE,-0.0
4,Marseille,2020,P,0.0
5,Marseille,2030,HCH,-0.0
6,Marseille,2030,HPH,0.0
7,Marseille,2030,HPE,-0.0
8,Marseille,2030,HCE,-0.0
9,Marseille,2030,P,0.0
10,Marseille,2040,HCH,3138.827585681521
11,Marseille,2040,HPH,3138.827585681521
12,Marseille,2040,HPE,3138.827585681521
13,Marseille,2040,HCE,3138.827585681521
14,Marseille,2040,P,407.6341734108502
15,Marseille,2050,HCH,3459.6770103329377
16,Marseille,2050,HPH,3459.6770103329377
17,Marseille,2050,HPE,3459.6770103329377
18,Marseille,2050,HCE,3459.6770103329377
19,Marseille,2050,P,1253.5219994127988
