,AREA,YEAR_op,STOCK_TECHNO,storageCosts_Pvar
0,Marseille,2020,Battery,-0.0
1,Marseille,2020,saltCavernH2_G,-0.0
2,Marseille,2020,tankH2_G,-0.0
3,Marseille,2030,Battery,-0.0
4,Marseille,2030,saltCavernH2_G,2012043.4329831172
5,Marseille,2030,tankH2_G,1375581.2393494793
6,Marseille,2040,Battery,-0.0
7,Marseille,2040,saltCavernH2_G,5918952.312641246
8,Marseille,2040,tankH2_G,4056840.549814221
9,Marseille,2050,Battery,-0.0
10,Marseille,2050,saltCavernH2_G,13564442.796264548
11,Marseille,2050,tankH2_G,4154201.215875529
