,AREA,YEAR_op,STOCK_TECHNO,Cmax_Pvar
0,Marseille,2020,Battery,0.0
1,Marseille,2020,saltCavernH2_G,0.0
2,Marseille,2020,tankH2_G,0.0
3,Marseille,2030,Battery,0.0
4,Marseille,2030,saltCavernH2_G,102010.02129391895
5,Marseille,2030,tankH2_G,3277.66596011121
6,Marseille,2040,Battery,0.0
7,Marseille,2040,saltCavernH2_G,355044.47630577453
8,Marseille,2040,tankH2_G,17107.22407783989
9,Marseille,2050,Battery,0.0
10,Marseille,2050,saltCavernH2_G,672793.5126265159
11,Marseille,2050,tankH2_G,13829.558117728679
