,AREA,YEAR_invest,TECHNOLOGIES,TECHNOLOGIES,transInvest_Dvar
116,Marseille,2010,WindOffShore_flot,Solar,0.0
117,Marseille,2010,WindOffShore_flot,curtailment,0.0
118,Marseille,2010,WindOffShore_flot,CCS1,0.0
119,Marseille,2010,WindOffShore_flot,CCS2,0.0
120,Marseille,2010,WindOffShore_flot,WindOffShore_flot,0.0
121,Marseille,2020,SMR,SMR,0.0
122,Marseille,2020,SMR,electrolysis_PEMEL,0.0
123,Marseille,2020,SMR,WindOnShore,0.0
124,Marseille,2020,SMR,SMR + CCS1,252.74207631042862
125,Marseille,2020,SMR,electrolysis_AEL,0.0
126,Marseille,2020,SMR,SMR + CCS2,0.0
127,Marseille,2020,SMR,Solar,0.0
128,Marseille,2020,SMR,curtailment,0.0
129,Marseille,2020,SMR,CCS1,0.0
130,Marseille,2020,SMR,CCS2,0.0
131,Marseille,2020,SMR,WindOffShore_flot,0.0
132,Marseille,2020,electrolysis_PEMEL,SMR,0.0
133,Marseille,2020,electrolysis_PEMEL,electrolysis_PEMEL,0.0
134,Marseille,2020,electrolysis_PEMEL,WindOnShore,0.0
135,Marseille,2020,electrolysis_PEMEL,SMR + CCS1,0.0
136,Marseille,2020,electrolysis_PEMEL,electrolysis_AEL,0.0
137,Marseille,2020,electrolysis_PEMEL,SMR + CCS2,0.0
138,Marseille,2020,electrolysis_PEMEL,Solar,0.0
139,Marseille,2020,electrolysis_PEMEL,curtailment,0.0
140,Marseille,2020,electrolysis_PEMEL,CCS1,0.0
141,Marseille,2020,electrolysis_PEMEL,CCS2,0.0
142,Marseille,2020,electrolysis_PEMEL,WindOffShore_flot,0.0
143,Marseille,2020,WindOnShore,SMR,0.0
144,Marseille,2020,WindOnShore,electrolysis_PEMEL,0.0
145,Marseille,2020,WindOnShore,WindOnShore,0.0
146,Marseille,2020,WindOnShore,SMR + CCS1,0.0
147,Marseille,2020,WindOnShore,electrolysis_AEL,0.0
148,Marseille,2020,WindOnShore,SMR + CCS2,0.0
149,Marseille,2020,WindOnShore,Solar,0.0
150,Marseille,2020,WindOnShore,curtailment,0.0
151,Marseille,2020,WindOnShore,CCS1,0.0
152,Marseille,2020,WindOnShore,CCS2,0.0
153,Marseille,2020,WindOnShore,WindOffShore_flot,0.0
154,Marseille,2020,SMR + CCS1,SMR,0.0
155,Marseille,2020,SMR + CCS1,electrolysis_PEMEL,0.0
156,Marseille,2020,SMR + CCS1,WindOnShore,0.0
157,Marseille,2020,SMR + CCS1,SMR + CCS1,0.0
158,Marseille,2020,SMR + CCS1,electrolysis_AEL,0.0
159,Marseille,2020,SMR + CCS1,SMR + CCS2,0.0
160,Marseille,2020,SMR + CCS1,Solar,0.0
