,AREA,YEAR_op,STOCK_TECHNO,storageCosts_Pvar
0,Marseille,2020,Battery,-0.0
1,Marseille,2020,saltCavernH2_G,-0.0
2,Marseille,2020,tankH2_G,-0.0
3,Marseille,2030,Battery,-0.0
4,Marseille,2030,saltCavernH2_G,2223450.989893044
5,Marseille,2030,tankH2_G,1416564.492881523
6,Marseille,2040,Battery,-0.0
7,Marseille,2040,saltCavernH2_G,7904595.47171317
8,Marseille,2040,tankH2_G,5586911.642568284
9,Marseille,2050,Battery,-0.0
10,Marseille,2050,saltCavernH2_G,16105348.336593915
11,Marseille,2050,tankH2_G,6210450.111441019
