TIMESTAMP,RESOURCES,importCost,emission
150,gazNat,21.85,203.5
151,gazNat,21.85,203.5
152,gazNat,21.85,203.5
153,gazNat,21.85,203.5
154,gazNat,21.85,203.5
155,gazNat,21.85,203.5
156,gazNat,21.85,203.5
157,gazNat,21.85,203.5
158,gazNat,21.85,203.5
159,gazNat,21.85,203.5
160,gazNat,21.85,203.5
161,gazNat,21.85,203.5
162,gazNat,21.85,203.5
163,gazNat,21.85,203.5
164,gazNat,21.85,203.5
165,gazNat,21.85,203.5
166,gazNat,21.85,203.5
167,gazNat,21.85,203.5
168,gazNat,21.85,203.5
169,gazNat,22.07,203.5
170,gazNat,22.07,203.5
171,gazNat,22.07,203.5
172,gazNat,22.07,203.5
173,gazNat,22.07,203.5
174,gazNat,22.07,203.5
175,gazNat,22.07,203.5
176,gazNat,22.07,203.5
177,gazNat,22.07,203.5
178,gazNat,22.07,203.5
179,gazNat,22.07,203.5
180,gazNat,22.07,203.5
181,gazNat,22.07,203.5
182,gazNat,22.07,203.5
183,gazNat,22.07,203.5
184,gazNat,22.07,203.5
185,gazNat,22.07,203.5
186,gazNat,22.07,203.5
187,gazNat,22.07,203.5
188,gazNat,22.07,203.5
189,gazNat,22.07,203.5
190,gazNat,22.07,203.5
191,gazNat,22.07,203.5
192,gazNat,22.07,203.5
193,gazNat,22.07,203.5
194,gazNat,22.07,203.5
195,gazNat,22.07,203.5
196,gazNat,22.07,203.5
197,gazNat,22.07,203.5
198,gazNat,22.07,203.5
199,gazNat,22.07,203.5
200,gazNat,22.07,203.5
201,gazNat,22.07,203.5
202,gazNat,22.07,203.5
203,gazNat,22.07,203.5
204,gazNat,22.07,203.5
205,gazNat,22.07,203.5
206,gazNat,22.07,203.5
207,gazNat,22.07,203.5
208,gazNat,22.07,203.5
209,gazNat,22.07,203.5
210,gazNat,22.07,203.5
211,gazNat,22.07,203.5
212,gazNat,22.07,203.5
213,gazNat,22.07,203.5
214,gazNat,22.07,203.5
215,gazNat,22.07,203.5
216,gazNat,22.07,203.5
217,gazNat,23.12,203.5
218,gazNat,23.12,203.5
219,gazNat,23.12,203.5
220,gazNat,23.12,203.5
221,gazNat,23.12,203.5
222,gazNat,23.12,203.5
223,gazNat,23.12,203.5
224,gazNat,23.12,203.5
225,gazNat,23.12,203.5
226,gazNat,23.12,203.5
227,gazNat,23.12,203.5
228,gazNat,23.12,203.5
229,gazNat,23.12,203.5
230,gazNat,23.12,203.5
231,gazNat,23.12,203.5
232,gazNat,23.12,203.5
233,gazNat,23.12,203.5
234,gazNat,23.12,203.5
235,gazNat,23.12,203.5
236,gazNat,23.12,203.5
237,gazNat,23.12,203.5
238,gazNat,23.12,203.5
239,gazNat,23.12,203.5
240,gazNat,23.12,203.5
241,gazNat,23.12,203.5
242,gazNat,23.12,203.5
243,gazNat,23.12,203.5
244,gazNat,23.12,203.5
245,gazNat,23.12,203.5
246,gazNat,23.12,203.5
247,gazNat,23.12,203.5
248,gazNat,23.12,203.5
249,gazNat,23.12,203.5
250,gazNat,23.12,203.5
251,gazNat,23.12,203.5
252,gazNat,23.12,203.5
253,gazNat,23.12,203.5
254,gazNat,23.12,203.5
255,gazNat,23.12,203.5
256,gazNat,23.12,203.5
257,gazNat,23.12,203.5
258,gazNat,23.12,203.5
259,gazNat,23.12,203.5
260,gazNat,23.12,203.5
261,gazNat,23.12,203.5
262,gazNat,23.12,203.5
263,gazNat,23.12,203.5
264,gazNat,23.12,203.5
265,gazNat,23.12,203.5
266,gazNat,23.12,203.5
267,gazNat,23.12,203.5
268,gazNat,23.12,203.5
269,gazNat,23.12,203.5
270,gazNat,23.12,203.5
271,gazNat,23.12,203.5
272,gazNat,23.12,203.5
273,gazNat,23.12,203.5
274,gazNat,23.12,203.5
275,gazNat,23.12,203.5
276,gazNat,23.12,203.5
277,gazNat,23.12,203.5
278,gazNat,23.12,203.5
279,gazNat,23.12,203.5
280,gazNat,23.12,203.5
281,gazNat,23.12,203.5
282,gazNat,23.12,203.5
283,gazNat,23.12,203.5
284,gazNat,23.12,203.5
285,gazNat,23.12,203.5
286,gazNat,23.12,203.5
287,gazNat,23.12,203.5
288,gazNat,23.12,203.5
289,gazNat,22.16,203.5
290,gazNat,22.16,203.5
291,gazNat,22.16,203.5
292,gazNat,22.16,203.5
293,gazNat,22.16,203.5
294,gazNat,22.16,203.5
295,gazNat,22.16,203.5
296,gazNat,22.16,203.5
297,gazNat,22.16,203.5
298,gazNat,22.16,203.5
299,gazNat,22.16,203.5
300,gazNat,22.16,203.5
301,gazNat,22.16,203.5
302,gazNat,22.16,203.5
303,gazNat,22.16,203.5
304,gazNat,22.16,203.5
305,gazNat,22.16,203.5
306,gazNat,22.16,203.5
307,gazNat,22.16,203.5
308,gazNat,22.16,203.5
309,gazNat,22.16,203.5
310,gazNat,22.16,203.5
311,gazNat,22.16,203.5
312,gazNat,22.16,203.5
313,gazNat,22.16,203.5
314,gazNat,22.16,203.5
315,gazNat,22.16,203.5
316,gazNat,22.16,203.5
317,gazNat,22.16,203.5
318,gazNat,22.16,203.5
319,gazNat,22.16,203.5
320,gazNat,22.16,203.5
321,gazNat,22.16,203.5
322,gazNat,22.16,203.5
323,gazNat,22.16,203.5
324,gazNat,22.16,203.5
325,gazNat,22.16,203.5
326,gazNat,22.16,203.5
327,gazNat,22.16,203.5
328,gazNat,22.16,203.5
329,gazNat,22.16,203.5
330,gazNat,22.16,203.5
331,gazNat,22.16,203.5
332,gazNat,22.16,203.5
333,gazNat,22.16,203.5
334,gazNat,22.16,203.5
335,gazNat,22.16,203.5
336,gazNat,22.16,203.5
337,gazNat,22.16,203.5
338,gazNat,22.16,203.5
339,gazNat,22.16,203.5
340,gazNat,22.16,203.5
341,gazNat,22.16,203.5
342,gazNat,22.16,203.5
343,gazNat,22.16,203.5
344,gazNat,22.16,203.5
345,gazNat,22.16,203.5
346,gazNat,22.16,203.5
347,gazNat,22.16,203.5
348,gazNat,22.16,203.5
349,gazNat,22.16,203.5
350,gazNat,22.16,203.5
351,gazNat,22.16,203.5
352,gazNat,22.16,203.5
353,gazNat,22.16,203.5
354,gazNat,22.16,203.5
355,gazNat,22.16,203.5
356,gazNat,22.16,203.5
357,gazNat,22.16,203.5
358,gazNat,22.16,203.5
359,gazNat,22.16,203.5
360,gazNat,22.16,203.5
361,gazNat,22.16,203.5
362,gazNat,22.64,203.5
363,gazNat,22.64,203.5
364,gazNat,22.64,203.5
365,gazNat,22.64,203.5
366,gazNat,22.64,203.5
367,gazNat,22.64,203.5
368,gazNat,22.64,203.5
369,gazNat,22.64,203.5
370,gazNat,22.64,203.5
371,gazNat,22.64,203.5
372,gazNat,22.64,203.5
373,gazNat,22.64,203.5
374,gazNat,22.64,203.5
375,gazNat,22.64,203.5
376,gazNat,22.64,203.5
377,gazNat,22.64,203.5
378,gazNat,22.64,203.5
379,gazNat,22.64,203.5
380,gazNat,22.64,203.5
381,gazNat,22.64,203.5
382,gazNat,22.64,203.5
383,gazNat,22.64,203.5
384,gazNat,22.64,203.5
385,gazNat,22.64,203.5
386,gazNat,21.68,203.5
387,gazNat,21.68,203.5
388,gazNat,21.68,203.5
389,gazNat,21.68,203.5
390,gazNat,21.68,203.5
391,gazNat,21.68,203.5
392,gazNat,21.68,203.5
393,gazNat,21.68,203.5
394,gazNat,21.68,203.5
395,gazNat,21.68,203.5
396,gazNat,21.68,203.5
397,gazNat,21.68,203.5
398,gazNat,21.68,203.5
399,gazNat,21.68,203.5
400,gazNat,21.68,203.5
401,gazNat,21.68,203.5
402,gazNat,21.68,203.5
403,gazNat,21.68,203.5
404,gazNat,21.68,203.5
405,gazNat,21.68,203.5
406,gazNat,21.68,203.5
407,gazNat,21.68,203.5
408,gazNat,21.68,203.5
409,gazNat,21.68,203.5
410,gazNat,23.19,203.5
411,gazNat,23.19,203.5
412,gazNat,23.19,203.5
413,gazNat,23.19,203.5
414,gazNat,23.19,203.5
415,gazNat,23.19,203.5
416,gazNat,23.19,203.5
417,gazNat,23.19,203.5
418,gazNat,23.19,203.5
419,gazNat,23.19,203.5
420,gazNat,23.19,203.5
421,gazNat,23.19,203.5
422,gazNat,23.19,203.5
423,gazNat,23.19,203.5
424,gazNat,23.19,203.5
425,gazNat,23.19,203.5
426,gazNat,23.19,203.5
427,gazNat,23.19,203.5
428,gazNat,23.19,203.5
429,gazNat,23.19,203.5
430,gazNat,23.19,203.5
431,gazNat,23.19,203.5
432,gazNat,23.19,203.5
433,gazNat,23.19,203.5
434,gazNat,22.41,203.5
435,gazNat,22.41,203.5
436,gazNat,22.41,203.5
437,gazNat,22.41,203.5
438,gazNat,22.41,203.5
439,gazNat,22.41,203.5
440,gazNat,22.41,203.5
441,gazNat,22.41,203.5
442,gazNat,22.41,203.5
443,gazNat,22.41,203.5
444,gazNat,22.41,203.5
445,gazNat,22.41,203.5
446,gazNat,22.41,203.5
447,gazNat,22.41,203.5
448,gazNat,22.41,203.5
449,gazNat,22.41,203.5
450,gazNat,22.41,203.5
451,gazNat,22.41,203.5
452,gazNat,22.41,203.5
453,gazNat,22.41,203.5
454,gazNat,22.41,203.5
455,gazNat,22.41,203.5
456,gazNat,22.41,203.5
457,gazNat,22.41,203.5
458,gazNat,22.41,203.5
459,gazNat,22.41,203.5
460,gazNat,22.41,203.5
461,gazNat,22.41,203.5
462,gazNat,22.41,203.5
463,gazNat,22.41,203.5
464,gazNat,22.41,203.5
465,gazNat,22.41,203.5
466,gazNat,22.41,203.5
467,gazNat,22.41,203.5
468,gazNat,22.41,203.5
469,gazNat,22.41,203.5
470,gazNat,22.41,203.5
471,gazNat,22.41,203.5
472,gazNat,22.41,203.5
473,gazNat,22.41,203.5
474,gazNat,22.41,203.5
475,gazNat,22.41,203.5
476,gazNat,22.41,203.5
477,gazNat,22.41,203.5
478,gazNat,22.41,203.5
479,gazNat,22.41,203.5
480,gazNat,22.41,203.5
481,gazNat,22.41,203.5
482,gazNat,20.98,203.5
483,gazNat,20.98,203.5
484,gazNat,20.98,203.5
485,gazNat,20.98,203.5
486,gazNat,20.98,203.5
487,gazNat,20.98,203.5
488,gazNat,20.98,203.5
489,gazNat,20.98,203.5
490,gazNat,20.98,203.5
491,gazNat,20.98,203.5
492,gazNat,20.98,203.5
493,gazNat,20.98,203.5
494,gazNat,20.98,203.5
495,gazNat,20.98,203.5
496,gazNat,20.98,203.5
497,gazNat,20.98,203.5
498,gazNat,20.98,203.5
499,gazNat,20.98,203.5
500,gazNat,20.98,203.5
501,gazNat,20.98,203.5
502,gazNat,20.98,203.5
503,gazNat,20.98,203.5
504,gazNat,20.98,203.5
505,gazNat,20.98,203.5
506,gazNat,22.52,203.5
507,gazNat,22.52,203.5
508,gazNat,22.52,203.5
509,gazNat,22.52,203.5
510,gazNat,22.52,203.5
511,gazNat,22.52,203.5
512,gazNat,22.52,203.5
513,gazNat,22.52,203.5
514,gazNat,22.52,203.5
515,gazNat,22.52,203.5
516,gazNat,22.52,203.5
517,gazNat,22.52,203.5
518,gazNat,22.52,203.5
519,gazNat,22.52,203.5
520,gazNat,22.52,203.5
521,gazNat,22.52,203.5
522,gazNat,22.52,203.5
523,gazNat,22.52,203.5
524,gazNat,22.52,203.5
525,gazNat,22.52,203.5
526,gazNat,22.52,203.5
527,gazNat,22.52,203.5
528,gazNat,22.52,203.5
529,gazNat,22.52,203.5
530,gazNat,22.52,203.5
531,gazNat,22.52,203.5
532,gazNat,22.52,203.5
533,gazNat,22.52,203.5
534,gazNat,22.52,203.5
535,gazNat,22.52,203.5
536,gazNat,22.52,203.5
537,gazNat,22.52,203.5
538,gazNat,22.52,203.5
539,gazNat,22.52,203.5
540,gazNat,22.52,203.5
541,gazNat,22.52,203.5
542,gazNat,22.52,203.5
543,gazNat,22.52,203.5
544,gazNat,22.52,203.5
545,gazNat,22.52,203.5
546,gazNat,22.52,203.5
547,gazNat,22.52,203.5
548,gazNat,22.52,203.5
549,gazNat,22.52,203.5
550,gazNat,22.52,203.5
551,gazNat,22.52,203.5
552,gazNat,22.52,203.5
553,gazNat,22.52,203.5
554,gazNat,20.12,203.5
555,gazNat,20.12,203.5
556,gazNat,20.12,203.5
557,gazNat,20.12,203.5
558,gazNat,20.12,203.5
559,gazNat,20.12,203.5
560,gazNat,20.12,203.5
561,gazNat,20.12,203.5
562,gazNat,20.12,203.5
563,gazNat,20.12,203.5
564,gazNat,20.12,203.5
565,gazNat,20.12,203.5
566,gazNat,20.12,203.5
