TIMESTAMP,RESOURCES,areaConsumption
354,electricity,70715
355,electricity,75765
356,electricity,78234
357,electricity,75193
358,electricity,71097
359,electricity,68827
360,electricity,71348
361,electricity,69905
362,electricity,66240
363,electricity,65451
364,electricity,63369
365,electricity,62297
366,electricity,63988
367,electricity,69351
368,electricity,76482
369,electricity,80640
370,electricity,81083
371,electricity,80336
372,electricity,79644
373,electricity,78991
374,electricity,77562
375,electricity,75367
376,electricity,72851
377,electricity,71927
378,electricity,72813
379,electricity,77384
380,electricity,79521
381,electricity,75609
382,electricity,70979
383,electricity,68320
384,electricity,70120
385,electricity,68515
386,electricity,64725
387,electricity,63706
388,electricity,61175
389,electricity,59472
390,electricity,60685
391,electricity,65690
392,electricity,73223
393,electricity,76679
394,electricity,76735
395,electricity,76661
396,electricity,76478
397,electricity,76284
398,electricity,75043
399,electricity,73233
400,electricity,71496
401,electricity,70613
402,electricity,71776
403,electricity,77229
404,electricity,80109
405,electricity,76903
406,electricity,72977
407,electricity,70796
408,electricity,73228
409,electricity,72029
410,electricity,68357
411,electricity,67501
412,electricity,64992
413,electricity,64257
414,electricity,65894
415,electricity,71100
416,electricity,78593
417,electricity,82628
418,electricity,82912
419,electricity,82285
420,electricity,81473
421,electricity,80546
422,electricity,79042
423,electricity,76560
424,electricity,73927
425,electricity,72675
426,electricity,73736
427,electricity,79030
428,electricity,80991
429,electricity,78000
430,electricity,74577
431,electricity,72902
432,electricity,75297
433,electricity,73555
434,electricity,69715
435,electricity,68626
436,electricity,65791
437,electricity,63961
438,electricity,64018
439,electricity,65714
440,electricity,68283
441,electricity,71048
442,electricity,73778
443,electricity,75195
444,electricity,75158
445,electricity,75706
446,electricity,75017
447,electricity,71521
448,electricity,68568
449,electricity,67171
450,electricity,67849
451,electricity,72791
452,electricity,75067
453,electricity,73174
454,electricity,70308
455,electricity,68953
456,electricity,71805
457,electricity,71029
458,electricity,67266
459,electricity,65701
460,electricity,62665
461,electricity,60353
462,electricity,59856
463,electricity,60582
464,electricity,61767
465,electricity,63475
466,electricity,65947
467,electricity,68864
468,electricity,70527
469,electricity,72094
470,electricity,71774
471,electricity,68185
472,electricity,65666
473,electricity,64511
474,electricity,65325
475,electricity,70647
476,electricity,74128
477,electricity,72918
478,electricity,70419
479,electricity,68798
480,electricity,71426
481,electricity,70654
482,electricity,67672
483,electricity,67185
484,electricity,65007
485,electricity,64032
486,electricity,66144
487,electricity,71725
488,electricity,79081
489,electricity,83522
490,electricity,84289
491,electricity,84050
492,electricity,83080
493,electricity,82498
494,electricity,81322
495,electricity,79115
496,electricity,76816
497,electricity,75976
498,electricity,77106
499,electricity,83030
500,electricity,86219
501,electricity,82716
502,electricity,78371
503,electricity,75796
504,electricity,78019
505,electricity,76630
506,electricity,73425
507,electricity,72762
508,electricity,70227
509,electricity,68873
510,electricity,70276
511,electricity,75177
512,electricity,82142
513,electricity,85461
514,electricity,85842
515,electricity,85800
516,electricity,85493
517,electricity,85387
518,electricity,84101
519,electricity,82032
520,electricity,79709
521,electricity,78678
522,electricity,79634
523,electricity,84419
524,electricity,86695
525,electricity,82464
526,electricity,77649
527,electricity,75232
528,electricity,77022
529,electricity,75359
530,electricity,71837
531,electricity,71184
532,electricity,68535
533,electricity,66924
534,electricity,68232
535,electricity,72809
536,electricity,78581
537,electricity,82174
538,electricity,83442
539,electricity,83915
540,electricity,84295
541,electricity,84576
542,electricity,83633
543,electricity,82289
544,electricity,80618
545,electricity,79926
546,electricity,80446
547,electricity,85212
548,electricity,87514
549,electricity,83427
550,electricity,78640
551,electricity,76084
552,electricity,78176
553,electricity,77035
554,electricity,73999
555,electricity,73571
556,electricity,70956
557,electricity,69547
558,electricity,70794
559,electricity,75832
560,electricity,82817
561,electricity,86103
562,electricity,86842
563,electricity,86698
564,electricity,86304
565,electricity,85866
566,electricity,84943
567,electricity,83113
568,electricity,80807
569,electricity,79998
570,electricity,80655
571,electricity,85411
572,electricity,88106
573,electricity,83967
574,electricity,79194
575,electricity,76455
576,electricity,78432
577,electricity,76783
578,electricity,73401
579,electricity,72861
580,electricity,70115
581,electricity,68697
582,electricity,69897
583,electricity,74495
584,electricity,81073
585,electricity,84222
586,electricity,84355
587,electricity,84127
588,electricity,83685
589,electricity,83286
590,electricity,82043
591,electricity,79618
592,electricity,77284
593,electricity,75822
594,electricity,76157
595,electricity,80334
596,electricity,82047
597,electricity,78662
598,electricity,74577
599,electricity,72330
600,electricity,74388
601,electricity,72359
602,electricity,68455
603,electricity,67113
604,electricity,63963
605,electricity,61845
606,electricity,61635
607,electricity,63001
608,electricity,65104
609,electricity,67545
610,electricity,69989
611,electricity,71294
612,electricity,71214
613,electricity,71810
614,electricity,71367
615,electricity,68360
616,electricity,65729
617,electricity,64430
618,electricity,64733
619,electricity,69126
620,electricity,71548
621,electricity,69428
622,electricity,66657
623,electricity,65274
624,electricity,68227
625,electricity,67253
626,electricity,63693
627,electricity,62471
628,electricity,59296
629,electricity,57082
630,electricity,56464
631,electricity,57051
632,electricity,58290
633,electricity,59671
634,electricity,62429
635,electricity,65429
636,electricity,67003
637,electricity,68495
638,electricity,68434
639,electricity,65327
640,electricity,63102
641,electricity,62357
642,electricity,63110
643,electricity,68559
644,electricity,72860
645,electricity,71797
646,electricity,69217
647,electricity,67360
648,electricity,69614
649,electricity,68546
650,electricity,65626
651,electricity,65040
652,electricity,62731
653,electricity,61423
654,electricity,63277
655,electricity,68657
656,electricity,75822
657,electricity,79671
658,electricity,80410
659,electricity,80309
660,electricity,79621
661,electricity,79224
662,electricity,78532
663,electricity,76629
664,electricity,74676
665,electricity,73756
666,electricity,74208
667,electricity,79284
668,electricity,82918
669,electricity,79525
670,electricity,75195
671,electricity,72711
672,electricity,74757
673,electricity,73541
674,electricity,70070
675,electricity,69287
676,electricity,66993
677,electricity,65804
678,electricity,67189
679,electricity,72053
680,electricity,79064
681,electricity,82202
682,electricity,82335
683,electricity,82123
684,electricity,81740
685,electricity,81631
686,electricity,80797
687,electricity,79338
688,electricity,77647
689,electricity,76944
690,electricity,77414
691,electricity,81688
692,electricity,84454
693,electricity,80830
694,electricity,76656
695,electricity,74169
696,electricity,76245
697,electricity,74502
698,electricity,70942
699,electricity,70266
700,electricity,67647
701,electricity,66214
702,electricity,67425
703,electricity,71844
704,electricity,77861
705,electricity,81327
706,electricity,82608
707,electricity,83047
708,electricity,83027
709,electricity,83058
710,electricity,81897
711,electricity,80429
712,electricity,78300
713,electricity,77446
714,electricity,77706
715,electricity,82383
716,electricity,85505
717,electricity,81516
718,electricity,77004
719,electricity,74504
720,electricity,76734
721,electricity,75402
722,electricity,72327
723,electricity,72032
724,electricity,69379
725,electricity,67839
726,electricity,68977
727,electricity,73806
728,electricity,80810
729,electricity,83972
730,electricity,84684
731,electricity,84908
732,electricity,84876
733,electricity,84717
734,electricity,83862
735,electricity,82338
736,electricity,80073
737,electricity,78735
738,electricity,78685
739,electricity,82214
740,electricity,84836
741,electricity,80837
742,electricity,76107
743,electricity,73112
744,electricity,74860
745,electricity,73169
746,electricity,69502
747,electricity,68332
748,electricity,65722
749,electricity,64040
750,electricity,65254
751,electricity,69749
752,electricity,76514
753,electricity,79593
754,electricity,80152
755,electricity,80152
756,electricity,80033
757,electricity,80042
758,electricity,79191
759,electricity,77120
760,electricity,74632
761,electricity,73152
762,electricity,73087
763,electricity,76728
764,electricity,78898
765,electricity,75670
766,electricity,71780
767,electricity,70009
768,electricity,72135
769,electricity,70472
770,electricity,66641
771,electricity,65236
772,electricity,62535
773,electricity,60626
774,electricity,60723
775,electricity,62387
776,electricity,64741
777,electricity,67187
778,electricity,70262
779,electricity,72431
780,electricity,73252
781,electricity,74817
782,electricity,75070
783,electricity,72534
784,electricity,70373
785,electricity,69134
786,electricity,69154
787,electricity,72902
788,electricity,75765
789,electricity,73787
790,electricity,71176
791,electricity,69988
792,electricity,72807
793,electricity,71964
794,electricity,68983
795,electricity,67713
796,electricity,64890
797,electricity,62818
798,electricity,62419
799,electricity,63311
800,electricity,64729
801,electricity,66223
802,electricity,68843
803,electricity,70791
804,electricity,71686
805,electricity,72559
806,electricity,71936
807,electricity,68200
808,electricity,65415
809,electricity,63997
810,electricity,64402
811,electricity,69874
812,electricity,75625
813,electricity,74965
814,electricity,72689
815,electricity,71118
816,electricity,73925
817,electricity,73108
818,electricity,70449
819,electricity,69964
820,electricity,67790
821,electricity,66546
822,electricity,68276
823,electricity,73648
824,electricity,80867
825,electricity,84449
826,electricity,85302
827,electricity,84990
828,electricity,84732
829,electricity,84536
830,electricity,83840
831,electricity,81841
832,electricity,79517
833,electricity,78324
834,electricity,78517
835,electricity,82512
836,electricity,86067
837,electricity,82333
838,electricity,77452
839,electricity,74584
840,electricity,76503
841,electricity,74968
842,electricity,71279
843,electricity,70169
844,electricity,67511
845,electricity,66005
846,electricity,67245
847,electricity,72374
848,electricity,79463
849,electricity,82287
850,electricity,82408
851,electricity,81699
852,electricity,81079
853,electricity,80463
854,electricity,78992
855,electricity,76523
856,electricity,73863
857,electricity,72371
858,electricity,72436
859,electricity,76985
860,electricity,81460
861,electricity,78481
862,electricity,74146
863,electricity,71662
864,electricity,73545
865,electricity,71939
866,electricity,68132
867,electricity,67100
868,electricity,64570
869,electricity,63149
870,electricity,64408
871,electricity,69202
872,electricity,75792
873,electricity,78656
874,electricity,79473
875,electricity,78996
876,electricity,78361
877,electricity,77947
878,electricity,76685
879,electricity,74443
880,electricity,71759
881,electricity,70246
882,electricity,69855
883,electricity,74082
884,electricity,78158
885,electricity,74846
886,electricity,70594
887,electricity,68308
888,electricity,70206
889,electricity,68997
890,electricity,65285
891,electricity,64533
892,electricity,62124
893,electricity,60460
894,electricity,61905
895,electricity,66609
896,electricity,73933
897,electricity,76708
898,electricity,77027
899,electricity,76301
900,electricity,75580
901,electricity,75090
902,electricity,74239
903,electricity,72304
904,electricity,70090
905,electricity,68983
906,electricity,69149
907,electricity,73455
908,electricity,77774
909,electricity,74612
910,electricity,70426
911,electricity,67922
912,electricity,70173
913,electricity,68806
914,electricity,65220
915,electricity,64185
916,electricity,61849
917,electricity,60381
918,electricity,61740
919,electricity,66591
920,electricity,73693
921,electricity,76696
922,electricity,76904
923,electricity,76291
924,electricity,75447
925,electricity,75079
926,electricity,73941
927,electricity,71545
928,electricity,69453
929,electricity,68122
930,electricity,68056
931,electricity,71905
932,electricity,75228
933,electricity,72558
934,electricity,68976
935,electricity,66960
936,electricity,69176
937,electricity,67433
938,electricity,63510
939,electricity,62093
