TIMESTAMP,TECHNOLOGIES,availabilityFactor
247,OldNuke,0.866
248,OldNuke,0.8707
249,OldNuke,0.8724
250,OldNuke,0.8721
251,OldNuke,0.8715
252,OldNuke,0.8714
253,OldNuke,0.8714
254,OldNuke,0.8712
255,OldNuke,0.871
256,OldNuke,0.8702
257,OldNuke,0.8695
258,OldNuke,0.8706
259,OldNuke,0.8708
260,OldNuke,0.8707
261,OldNuke,0.8702
262,OldNuke,0.8703
263,OldNuke,0.8709
264,OldNuke,0.8703
265,OldNuke,0.8682
266,OldNuke,0.8524
267,OldNuke,0.8526
268,OldNuke,0.8491
269,OldNuke,0.8494
270,OldNuke,0.849
271,OldNuke,0.8532
272,OldNuke,0.8564
273,OldNuke,0.845
274,OldNuke,0.8458
275,OldNuke,0.8449
276,OldNuke,0.8386
277,OldNuke,0.8355
278,OldNuke,0.8336
279,OldNuke,0.829
280,OldNuke,0.8189
281,OldNuke,0.8202
282,OldNuke,0.824
283,OldNuke,0.8274
284,OldNuke,0.8312
285,OldNuke,0.831
286,OldNuke,0.8271
287,OldNuke,0.826
288,OldNuke,0.8247
289,OldNuke,0.8251
290,OldNuke,0.8203
291,OldNuke,0.8218
292,OldNuke,0.8034
293,OldNuke,0.7808
294,OldNuke,0.7676
295,OldNuke,0.7588
296,OldNuke,0.7603
297,OldNuke,0.7768
298,OldNuke,0.8034
299,OldNuke,0.8202
300,OldNuke,0.8287
301,OldNuke,0.828
302,OldNuke,0.8257
303,OldNuke,0.8238
304,OldNuke,0.7981
305,OldNuke,0.7892
306,OldNuke,0.7968
307,OldNuke,0.7983
308,OldNuke,0.8125
309,OldNuke,0.8106
310,OldNuke,0.8118
311,OldNuke,0.8014
312,OldNuke,0.8064
313,OldNuke,0.8099
314,OldNuke,0.7965
315,OldNuke,0.7894
316,OldNuke,0.7602
317,OldNuke,0.7553
318,OldNuke,0.7682
319,OldNuke,0.8031
320,OldNuke,0.8198
321,OldNuke,0.8226
322,OldNuke,0.8254
323,OldNuke,0.8254
324,OldNuke,0.825
325,OldNuke,0.8277
326,OldNuke,0.8335
327,OldNuke,0.8334
328,OldNuke,0.8251
329,OldNuke,0.8182
330,OldNuke,0.8188
331,OldNuke,0.8191
332,OldNuke,0.8099
333,OldNuke,0.8047
334,OldNuke,0.7949
335,OldNuke,0.7924
336,OldNuke,0.7993
337,OldNuke,0.8
338,OldNuke,0.7981
339,OldNuke,0.8007
340,OldNuke,0.8026
341,OldNuke,0.8015
342,OldNuke,0.8078
343,OldNuke,0.8134
344,OldNuke,0.8197
345,OldNuke,0.821
346,OldNuke,0.8218
347,OldNuke,0.822
348,OldNuke,0.8236
349,OldNuke,0.8279
350,OldNuke,0.8316
351,OldNuke,0.8364
352,OldNuke,0.8358
353,OldNuke,0.8378
354,OldNuke,0.8392
355,OldNuke,0.8414
356,OldNuke,0.8416
357,OldNuke,0.8424
358,OldNuke,0.8392
359,OldNuke,0.8339
360,OldNuke,0.8321
361,OldNuke,0.839
362,OldNuke,0.8381
363,OldNuke,0.8402
364,OldNuke,0.8395
365,OldNuke,0.8363
366,OldNuke,0.839
367,OldNuke,0.843
368,OldNuke,0.8462
369,OldNuke,0.8467
370,OldNuke,0.8475
371,OldNuke,0.8479
372,OldNuke,0.8478
373,OldNuke,0.8482
374,OldNuke,0.8481
375,OldNuke,0.8471
376,OldNuke,0.8448
377,OldNuke,0.8458
378,OldNuke,0.8479
379,OldNuke,0.8479
380,OldNuke,0.846
381,OldNuke,0.8435
382,OldNuke,0.8411
383,OldNuke,0.836
384,OldNuke,0.8382
385,OldNuke,0.8395
386,OldNuke,0.8376
387,OldNuke,0.8406
388,OldNuke,0.8331
389,OldNuke,0.8185
390,OldNuke,0.8217
391,OldNuke,0.8299
392,OldNuke,0.8435
393,OldNuke,0.8467
394,OldNuke,0.8453
395,OldNuke,0.8444
396,OldNuke,0.8443
397,OldNuke,0.8429
398,OldNuke,0.8457
399,OldNuke,0.8492
400,OldNuke,0.8493
401,OldNuke,0.8449
402,OldNuke,0.8508
403,OldNuke,0.8529
404,OldNuke,0.8537
405,OldNuke,0.8508
406,OldNuke,0.8512
407,OldNuke,0.8513
408,OldNuke,0.8539
409,OldNuke,0.8537
410,OldNuke,0.8521
411,OldNuke,0.8498
412,OldNuke,0.8508
413,OldNuke,0.8522
414,OldNuke,0.8539
415,OldNuke,0.8538
416,OldNuke,0.8573
417,OldNuke,0.8578
418,OldNuke,0.858
419,OldNuke,0.8573
420,OldNuke,0.8571
421,OldNuke,0.8572
422,OldNuke,0.857
423,OldNuke,0.8571
424,OldNuke,0.8573
425,OldNuke,0.8571
426,OldNuke,0.8562
427,OldNuke,0.8574
428,OldNuke,0.8549
429,OldNuke,0.8484
430,OldNuke,0.8444
431,OldNuke,0.8451
432,OldNuke,0.8264
433,OldNuke,0.811
434,OldNuke,0.8031
435,OldNuke,0.7922
436,OldNuke,0.7787
437,OldNuke,0.7813
438,OldNuke,0.7821
439,OldNuke,0.7835
440,OldNuke,0.7853
441,OldNuke,0.7863
442,OldNuke,0.7866
443,OldNuke,0.7864
444,OldNuke,0.7861
445,OldNuke,0.786
446,OldNuke,0.7858
447,OldNuke,0.7842
448,OldNuke,0.7814
449,OldNuke,0.7816
450,OldNuke,0.7817
451,OldNuke,0.7823
452,OldNuke,0.7836
453,OldNuke,0.7945
454,OldNuke,0.7954
455,OldNuke,0.7951
456,OldNuke,0.7919
457,OldNuke,0.795
458,OldNuke,0.7918
459,OldNuke,0.7885
460,OldNuke,0.7772
461,OldNuke,0.7858
462,OldNuke,0.7882
463,OldNuke,0.7899
464,OldNuke,0.8032
465,OldNuke,0.8138
466,OldNuke,0.8215
467,OldNuke,0.8276
468,OldNuke,0.829
469,OldNuke,0.8276
470,OldNuke,0.8266
471,OldNuke,0.8259
472,OldNuke,0.8278
473,OldNuke,0.8268
474,OldNuke,0.8303
475,OldNuke,0.8345
476,OldNuke,0.8355
477,OldNuke,0.836
478,OldNuke,0.8362
479,OldNuke,0.8365
480,OldNuke,0.8406
481,OldNuke,0.8412
482,OldNuke,0.8365
483,OldNuke,0.8368
484,OldNuke,0.8331
485,OldNuke,0.8291
486,OldNuke,0.8273
487,OldNuke,0.8274
488,OldNuke,0.8319
489,OldNuke,0.8324
490,OldNuke,0.8326
491,OldNuke,0.8323
492,OldNuke,0.8324
493,OldNuke,0.8344
494,OldNuke,0.8428
495,OldNuke,0.8427
496,OldNuke,0.8425
497,OldNuke,0.8426
498,OldNuke,0.8425
499,OldNuke,0.8404
500,OldNuke,0.8411
501,OldNuke,0.8422
502,OldNuke,0.8432
503,OldNuke,0.8406
504,OldNuke,0.8338
505,OldNuke,0.833
506,OldNuke,0.8309
507,OldNuke,0.8309
508,OldNuke,0.8318
509,OldNuke,0.8323
510,OldNuke,0.8321
511,OldNuke,0.8317
512,OldNuke,0.8336
513,OldNuke,0.8373
514,OldNuke,0.8444
515,OldNuke,0.8471
516,OldNuke,0.8471
517,OldNuke,0.8483
518,OldNuke,0.8491
519,OldNuke,0.8484
520,OldNuke,0.846
521,OldNuke,0.8507
522,OldNuke,0.8532
523,OldNuke,0.8544
524,OldNuke,0.8544
525,OldNuke,0.8544
526,OldNuke,0.854
527,OldNuke,0.8546
528,OldNuke,0.8534
529,OldNuke,0.8555
530,OldNuke,0.8595
531,OldNuke,0.8584
532,OldNuke,0.859
533,OldNuke,0.8591
534,OldNuke,0.861
535,OldNuke,0.861
536,OldNuke,0.8619
537,OldNuke,0.862
538,OldNuke,0.8625
539,OldNuke,0.8642
540,OldNuke,0.8641
541,OldNuke,0.864
542,OldNuke,0.8641
543,OldNuke,0.8642
544,OldNuke,0.8642
545,OldNuke,0.8641
546,OldNuke,0.8642
547,OldNuke,0.8622
548,OldNuke,0.8621
549,OldNuke,0.8604
550,OldNuke,0.8602
551,OldNuke,0.8596
552,OldNuke,0.8608
553,OldNuke,0.8596
554,OldNuke,0.8592
555,OldNuke,0.8604
556,OldNuke,0.8582
557,OldNuke,0.8593
558,OldNuke,0.8606
559,OldNuke,0.8644
560,OldNuke,0.8645
561,OldNuke,0.865
562,OldNuke,0.8658
563,OldNuke,0.8665
564,OldNuke,0.8699
565,OldNuke,0.8783
566,OldNuke,0.8777
567,OldNuke,0.8778
568,OldNuke,0.8782
569,OldNuke,0.8785
570,OldNuke,0.878
571,OldNuke,0.8759
572,OldNuke,0.8752
573,OldNuke,0.8744
574,OldNuke,0.8748
575,OldNuke,0.8729
576,OldNuke,0.8743
577,OldNuke,0.8765
