YEAR,TIMESTAMP,TECHNOLOGIES,availabilityFactor
2020,40,Solar,0.178
2020,40,WindOffShore_flot,0.942
2020,40,WindOnShore,0.969
2020,41,Solar,0.0
2020,41,WindOffShore_flot,0.929
2020,41,WindOnShore,0.972
2020,42,Solar,0.0
2020,42,WindOffShore_flot,0.934
2020,42,WindOnShore,0.97
2020,43,Solar,0.0
2020,43,WindOffShore_flot,0.955
2020,43,WindOnShore,0.962
2020,44,Solar,0.0
2020,44,WindOffShore_flot,0.973
2020,44,WindOnShore,0.948
2020,45,Solar,0.0
2020,45,WindOffShore_flot,0.986
2020,45,WindOnShore,0.927
2020,46,Solar,0.0
2020,46,WindOffShore_flot,0.988
2020,46,WindOnShore,0.877
2020,47,Solar,0.0
2020,47,WindOffShore_flot,0.968
2020,47,WindOnShore,0.799
2020,48,Solar,0.0
2020,48,WindOffShore_flot,0.919
2020,48,WindOnShore,0.708
2020,49,Solar,0.0
2020,49,WindOffShore_flot,0.834
2020,49,WindOnShore,0.61
2020,50,Solar,0.0
2020,50,WindOffShore_flot,0.751
2020,50,WindOnShore,0.516
2020,51,Solar,0.0
2020,51,WindOffShore_flot,0.704
2020,51,WindOnShore,0.46
2020,52,Solar,0.0
2020,52,WindOffShore_flot,0.705
2020,52,WindOnShore,0.472
2020,53,Solar,0.0
2020,53,WindOffShore_flot,0.728
2020,53,WindOnShore,0.481
2020,54,Solar,0.0
2020,54,WindOffShore_flot,0.771
2020,54,WindOnShore,0.512
2020,55,Solar,0.0
2020,55,WindOffShore_flot,0.81
2020,55,WindOnShore,0.56
2020,56,Solar,0.067
2020,56,WindOffShore_flot,0.835
2020,56,WindOnShore,0.589
2020,57,Solar,0.349
2020,57,WindOffShore_flot,0.835
2020,57,WindOnShore,0.57
2020,58,Solar,0.543
2020,58,WindOffShore_flot,0.817
2020,58,WindOnShore,0.531
2020,59,Solar,0.648
2020,59,WindOffShore_flot,0.776
2020,59,WindOnShore,0.475
2020,60,Solar,0.681
2020,60,WindOffShore_flot,0.695
2020,60,WindOnShore,0.384
2020,61,Solar,0.65
2020,61,WindOffShore_flot,0.579
2020,61,WindOnShore,0.306
2020,62,Solar,0.551
2020,62,WindOffShore_flot,0.561
2020,62,WindOnShore,0.3
2020,63,Solar,0.379
2020,63,WindOffShore_flot,0.643
2020,63,WindOnShore,0.349
2020,64,Solar,0.133
2020,64,WindOffShore_flot,0.722
2020,64,WindOnShore,0.416
2020,65,Solar,0.0
2020,65,WindOffShore_flot,0.763
2020,65,WindOnShore,0.493
2020,66,Solar,0.0
2020,66,WindOffShore_flot,0.807
2020,66,WindOnShore,0.55
2020,67,Solar,0.0
2020,67,WindOffShore_flot,0.826
2020,67,WindOnShore,0.572
2020,68,Solar,0.0
2020,68,WindOffShore_flot,0.816
2020,68,WindOnShore,0.559
2020,69,Solar,0.0
2020,69,WindOffShore_flot,0.794
2020,69,WindOnShore,0.531
2020,70,Solar,0.0
2020,70,WindOffShore_flot,0.763
2020,70,WindOnShore,0.489
2020,71,Solar,0.0
2020,71,WindOffShore_flot,0.751
2020,71,WindOnShore,0.465
2020,72,Solar,0.0
2020,72,WindOffShore_flot,0.701
2020,72,WindOnShore,0.418
2020,73,Solar,0.0
2020,73,WindOffShore_flot,0.596
2020,73,WindOnShore,0.354
2020,74,Solar,0.0
2020,74,WindOffShore_flot,0.536
2020,74,WindOnShore,0.329
2020,75,Solar,0.0
2020,75,WindOffShore_flot,0.549
2020,75,WindOnShore,0.346
2020,76,Solar,0.0
2020,76,WindOffShore_flot,0.644
2020,76,WindOnShore,0.401
2020,77,Solar,0.0
2020,77,WindOffShore_flot,0.707
2020,77,WindOnShore,0.427
2020,78,Solar,0.0
2020,78,WindOffShore_flot,0.674
2020,78,WindOnShore,0.412
2020,79,Solar,0.0
2020,79,WindOffShore_flot,0.643
2020,79,WindOnShore,0.398
2020,80,Solar,0.043
2020,80,WindOffShore_flot,0.619
2020,80,WindOnShore,0.38
2020,81,Solar,0.239
2020,81,WindOffShore_flot,0.52
2020,81,WindOnShore,0.311
2020,82,Solar,0.322
2020,82,WindOffShore_flot,0.396
2020,82,WindOnShore,0.245
2020,83,Solar,0.41
2020,83,WindOffShore_flot,0.355
2020,83,WindOnShore,0.227
2020,84,Solar,0.54
2020,84,WindOffShore_flot,0.294
2020,84,WindOnShore,0.181
2020,85,Solar,0.586
2020,85,WindOffShore_flot,0.246
2020,85,WindOnShore,0.148
2020,86,Solar,0.433
2020,86,WindOffShore_flot,0.244
2020,86,WindOnShore,0.146
2020,87,Solar,0.253
2020,87,WindOffShore_flot,0.288
2020,87,WindOnShore,0.17
2020,88,Solar,0.059
2020,88,WindOffShore_flot,0.416
2020,88,WindOnShore,0.247
2020,89,Solar,0.0
2020,89,WindOffShore_flot,0.554
2020,89,WindOnShore,0.332
2020,90,Solar,0.0
2020,90,WindOffShore_flot,0.644
2020,90,WindOnShore,0.398
2020,91,Solar,0.0
2020,91,WindOffShore_flot,0.707
2020,91,WindOnShore,0.439
2020,92,Solar,0.0
2020,92,WindOffShore_flot,0.724
2020,92,WindOnShore,0.445
2020,93,Solar,0.0
2020,93,WindOffShore_flot,0.738
2020,93,WindOnShore,0.452
2020,94,Solar,0.0
2020,94,WindOffShore_flot,0.781
2020,94,WindOnShore,0.482
2020,95,Solar,0.0
2020,95,WindOffShore_flot,0.85
2020,95,WindOnShore,0.546
2020,96,Solar,0.0
2020,96,WindOffShore_flot,0.907
2020,96,WindOnShore,0.627
2020,97,Solar,0.0
