,AREA,YEAR_op,STOCK_TECHNO,Cmax_Pvar
0,Marseille,2020,Battery,0.0
1,Marseille,2020,saltCavernH2_G,0.0
2,Marseille,2020,tankH2_G,0.0
3,Marseille,2030,Battery,0.0
4,Marseille,2030,saltCavernH2_G,32077.136307897894
5,Marseille,2030,tankH2_G,-2.8398992587956425e-29
6,Marseille,2040,Battery,0.0
7,Marseille,2040,saltCavernH2_G,162077.1363078979
8,Marseille,2040,tankH2_G,5515.951859768696
9,Marseille,2050,Battery,0.0
10,Marseille,2050,saltCavernH2_G,292077.1363078979
11,Marseille,2050,tankH2_G,22859.184304314917
