,AREA,YEAR_op,TECHNOLOGIES,powerCosts_Pvar
0,France,2020,WindOnShore,0.0
1,France,2020,curtailment,4781997.394814769
2,France,2020,TAC_H2,0.0
3,France,2020,HydroReservoir,0.0
4,France,2020,CCG,0.0
5,France,2020,Coal_p,17660271.128659658
6,France,2020,electrolysis_AEL,0.0
7,France,2020,Solar,0.0
8,France,2020,CCG_H2,0.0
9,France,2020,TAC,0.0
10,France,2020,WindOffShore,0.0
11,France,2020,IntercoIn,45208490.75709627
12,France,2020,HydroRiver,0.0
13,France,2020,OldNuke,5788857637.942431
14,France,2020,IntercoOut,-0.0
15,France,2020,NewNuke,0.0
16,France,2030,WindOnShore,0.0
17,France,2030,curtailment,9911604.512873694
18,France,2030,TAC_H2,0.0
19,France,2030,HydroReservoir,0.0
20,France,2030,CCG,0.0
21,France,2030,Coal_p,36225643.768609
22,France,2030,electrolysis_AEL,0.0
23,France,2030,Solar,0.0
24,France,2030,CCG_H2,0.0
25,France,2030,TAC,0.0
26,France,2030,WindOffShore,0.0
27,France,2030,IntercoIn,1909784853.3131728
28,France,2030,HydroRiver,0.0
29,France,2030,OldNuke,3110247942.48281
30,France,2030,IntercoOut,-0.0
31,France,2030,NewNuke,0.0
32,France,2040,WindOnShore,0.0
33,France,2040,curtailment,277138263.00418067
34,France,2040,TAC_H2,0.0
35,France,2040,HydroReservoir,0.0
36,France,2040,CCG,0.0
37,France,2040,Coal_p,-0.0
38,France,2040,electrolysis_AEL,0.0
39,France,2040,Solar,0.0
40,France,2040,CCG_H2,0.0
41,France,2040,TAC,0.0
42,France,2040,WindOffShore,0.0
43,France,2040,IntercoIn,2108107921.376175
44,France,2040,HydroRiver,0.0
45,France,2040,OldNuke,1053671672.9468199
46,France,2040,IntercoOut,-0.0
47,France,2040,NewNuke,0.0
48,France,2050,WindOnShore,0.0
49,France,2050,curtailment,142805185.44156507
50,France,2050,TAC_H2,0.0
51,France,2050,HydroReservoir,0.0
52,France,2050,CCG,0.0
53,France,2050,Coal_p,-0.0
54,France,2050,electrolysis_AEL,0.0
55,France,2050,Solar,0.0
56,France,2050,CCG_H2,0.0
57,France,2050,TAC,0.0
58,France,2050,WindOffShore,0.0
59,France,2050,IntercoIn,1617406323.1587813
60,France,2050,HydroRiver,0.0
61,France,2050,OldNuke,342862078.12873316
62,France,2050,IntercoOut,-0.0
63,France,2050,NewNuke,0.0
