,AREA,YEAR_op,STOCK_TECHNO,Pmax_Pvar
0,France,2020,Battery,0.0
1,France,2020,saltCavernH2_G,0.0
2,France,2030,Battery,0.0
3,France,2030,saltCavernH2_G,2112.5
4,France,2040,Battery,1000.0
5,France,2040,saltCavernH2_G,3971.3121542001963
6,France,2050,Battery,8700.0
7,France,2050,saltCavernH2_G,6835.580307748647
