,AREA,YEAR_invest,STOCK_TECHNO,PmaxInvest_Dvar
0,Marseille,2010,tankH2_G,-0.0
1,Marseille,2010,Battery,-0.0
2,Marseille,2010,saltCavernH2_G,0.0
3,Marseille,2020,tankH2_G,545.4480867766965
4,Marseille,2020,Battery,2.3665827156630354e-30
5,Marseille,2020,saltCavernH2_G,0.0
6,Marseille,2030,tankH2_G,896.6895048044856
7,Marseille,2030,Battery,-2.3665827156630354e-30
8,Marseille,2030,saltCavernH2_G,0.0
9,Marseille,2040,tankH2_G,383.2080576788379
10,Marseille,2040,Battery,2.3665827156630354e-30
11,Marseille,2040,saltCavernH2_G,0.0
