,AREA,YEAR_invest,STOCK_TECHNO,PmaxInvest_Dvar
0,France,2010,saltCavernH2_G,0.0
1,France,2010,Battery,0.0
2,France,2020,saltCavernH2_G,1553.6940173730445
3,France,2020,Battery,-0.0
4,France,2030,saltCavernH2_G,2417.618136827152
5,France,2030,Battery,1000.0
6,France,2040,saltCavernH2_G,2918.6878457998037
7,France,2040,Battery,7700.0
